"";"Var1";"Var2";"value";"Var1ov";"Var2ov";"distphylo";"overlap";"symp";"sex";"view";"type";"visdist";"res"
"480";"Parnassius_actius";"Parnassius_jacquemontii";28,8557641850975;"Parnassius_actius";"Parnassius_jacquemontii";8,712118886;0,32178799450152;TRUE;"M";"D";"grayscale";16,1915481622237;7,39873711665654
"672";"Parnassius_nomion";"Parnassius_epaphus";58,3840025070344;"Parnassius_nomion";"Parnassius_epaphus";4,902490962;0;FALSE;"M";"D";"grayscale";18,6945959278659;36,3820203170946
"1632";"Protesilaus_molops";"Protesilaus_protesilaus";17,786134735591;"Protesilaus_molops";"Protesilaus_protesilaus";2,9490224442;0,848977420908582;TRUE;"M";"D";"grayscale";14,008805786655;-3,19567302109459
"1824";"Graphium_angolanus";"Graphium_ridleyanus";28,2065172501062;"Graphium_angolanus";"Graphium_ridleyanus";15,438641774;0,413463883821531;TRUE;"M";"D";"grayscale";50,3657795785234;-0,690808277371537
"2016";"Graphium_latreillianus";"Graphium_leonidas";5,86569968824938;"Graphium_latreillianus";"Graphium_leonidas";16,198616398;0,403814465888067;TRUE;"M";"D";"grayscale";52,2560289935199;-23,4431645696323
"2400";"Graphium_antiphates";"Graphium_agetes";20,027707415392;"Graphium_antiphates";"Graphium_agetes";39,893295552;0,384990642279718;TRUE;"M";"D";"grayscale";30,8567570518449;-4,62217949453923
"3264";"Graphium_milon";"Graphium_sarpedon";16,5699649613402;"Graphium_milon";"Graphium_sarpedon";10,876957306;0,0209775821856747;FALSE;"M";"D";"grayscale";43,0621794648473;-10,7372453705903
"3552";"Battus_belus";"Battus_crassus";3,90027079327046;"Battus_belus";"Battus_crassus";19,893818298;0,532934194265273;TRUE;"M";"D";"grayscale";23,6645491789046;-19,1837528642516
"4224";"Euryades_corethrus";"Euryades_duponchelii";30,646770364603;"Euryades_corethrus";"Euryades_duponchelii";23,97718158;0,3300647988778;TRUE;"M";"D";"grayscale";51,4455762189104;1,51435515268794
"4416";"Parides_ascanius";"Parides_bunichus";20,9780225182324;"Parides_ascanius";"Parides_bunichus";10,158552726;0;FALSE;"M";"D";"grayscale";22,2542811050199;-1,79896232840519
"4704";"Parides_eurimedes";"Parides_zacynthus";13,1872843409006;"Parides_eurimedes";"Parides_zacynthus";6,318906044;0;FALSE;"M";"D";"grayscale";18,7022733035657;-8,81636934139539
"4896";"Parides_erithalion";"Parides_vertumnus";4,65531135509891;"Parides_erithalion";"Parides_vertumnus";4,406983634;0,244418876751322;TRUE;"M";"D";"grayscale";10,3074709561083;-15,5206542598682
