"";"Var1";"Var2";"value";"Var1ov";"Var2ov";"distphylo";"overlap";"symp";"sex";"view";"type";"visdist";"res"
"405";"Parnassius_actius";"Parnassius_jacquemontii";47,0135088482551;"Parnassius_actius";"Parnassius_jacquemontii";8,712118886;0,32178799450152;TRUE;"M";"D";"grayscale";16,3678063322729;19,3197089188743
"567";"Parnassius_nomion";"Parnassius_epaphus";81,4416214178055;"Parnassius_nomion";"Parnassius_epaphus";4,902490962;0;FALSE;"M";"D";"grayscale";18,8236537825858;52,6789396090299
"891";"Protesilaus_molops";"Protesilaus_protesilaus";33,0717522368061;"Protesilaus_molops";"Protesilaus_protesilaus";2,9490224442;0,848977420908582;TRUE;"M";"D";"grayscale";13,0177439699923;6,8360318609533
"1053";"Graphium_angolanus";"Graphium_ridleyanus";36,43355763102;"Graphium_angolanus";"Graphium_ridleyanus";15,438641774;0,413463883821531;TRUE;"M";"D";"grayscale";54,2801210810705;-7,76118018672329
"1215";"Graphium_latreillianus";"Graphium_leonidas";11,5638444413352;"Graphium_latreillianus";"Graphium_leonidas";16,198616398;0,403814465888067;TRUE;"M";"D";"grayscale";50,0408281335096;-30,7857855247305
"1377";"Graphium_antiphates";"Graphium_agetes";51,4065488631145;"Graphium_antiphates";"Graphium_agetes";39,893295552;0,384990642279718;TRUE;"M";"D";"grayscale";28,412880217087;18,4702566894332
"1863";"Graphium_milon";"Graphium_sarpedon";35,1841882523307;"Graphium_milon";"Graphium_sarpedon";10,876957306;0,0209775821856747;FALSE;"M";"D";"grayscale";43,8686448938668;-4,47906360815736
"2106";"Battus_belus";"Battus_crassus";6,802756801846;"Battus_belus";"Battus_crassus";19,893818298;0,532934194265273;TRUE;"M";"D";"grayscale";23,896956864133;-24,1680270337283
"2673";"Euryades_corethrus";"Euryades_duponchelii";45,9414196700007;"Euryades_corethrus";"Euryades_duponchelii";23,97718158;0,3300647988778;TRUE;"M";"D";"grayscale";50,4220195670437;3,42588012521366
"2835";"Parides_ascanius";"Parides_bunichus";20,5365094158022;"Parides_ascanius";"Parides_bunichus";10,158552726;0;FALSE;"M";"D";"grayscale";22,4157986623898;-9,78961582660139
"2997";"Parides_aeneas";"Parides_tros";20,0580195117076;"Parides_aeneas";"Parides_tros";16,421856434;0;FALSE;"M";"D";"grayscale";16,0229725165023;-7,48569511126174
"3159";"Parides_eurimedes";"Parides_zacynthus";21,0346796429731;"Parides_eurimedes";"Parides_zacynthus";6,318906044;0;FALSE;"M";"D";"grayscale";18,5206956284569;-7,59614280250122
"3321";"Parides_erithalion";"Parides_vertumnus";3,55843767230966;"Parides_erithalion";"Parides_vertumnus";4,406983634;0,244418876751322;TRUE;"M";"D";"grayscale";10,1578847358554;-21,4325589269912
"3483";"Trogonoptera_brookiana";"Trogonoptera_trojana";4,72011696321862;"Trogonoptera_brookiana";"Trogonoptera_trojana";3,025250848;0;FALSE;"M";"D";"grayscale";16,8327535097828;-23,1760463551636
"3645";"Ornithoptera_aesacus";"Ornithoptera_euphorion";1,85480192730626;"Ornithoptera_aesacus";"Ornithoptera_euphorion";1,2520188842;0;FALSE;"M";"D";"grayscale";26,533918522718;-30,2636918497636
"3807";"Troides_amphrysus";"Troides_miranda";13,9964334432116;"Troides_amphrysus";"Troides_miranda";6,51134828;0,219196042847183;TRUE;"M";"D";"grayscale";8,46926626300128;-10,2596096529246
"3969";"Troides_prattorum";"Troides_vandepolli";8,97578796566836;"Troides_prattorum";"Troides_vandepolli";8,77210368;0;FALSE;"M";"D";"grayscale";14,8612274390464;-18,0622892808382
"4131";"Troides_aeacus";"Troides_minos";41,9134825451003;"Troides_aeacus";"Troides_minos";4,776149088;0;FALSE;"M";"D";"grayscale";15,3864637734212;14,6468016855552
"4293";"Troides_criton";"Troides_rhadamantus";15,4699493329862;"Troides_criton";"Troides_rhadamantus";2,68696424;0;FALSE;"M";"D";"grayscale";29,7272798695668;-18,0384215219828
"4536";"Papilio_eurymedon";"Papilio_rutulus";38,335469846671;"Papilio_eurymedon";"Papilio_rutulus";0,9090749386;0,626653601347448;TRUE;"M";"D";"grayscale";27,6588603953543;5,72735690254724
"4779";"Papilio_homothoas";"Papilio_cresphontes";3,57178946229286;"Papilio_homothoas";"Papilio_cresphontes";9,1218426262;0;FALSE;"M";"D";"grayscale";9,1601039877993;-20,9849335175002
"5427";"Papilio_montrouzieri";"Papilio_ulysses";28,8387353833861;"Papilio_montrouzieri";"Papilio_ulysses";19,571548276;0;FALSE;"M";"D";"grayscale";15,5455644523031;1,50280761983047
"5589";"Papilio_buddha";"Papilio_neumoegeni";6,49223450626143;"Papilio_buddha";"Papilio_neumoegeni";24,640851346;0;FALSE;"M";"D";"grayscale";17,4351379840054;-21,6661103449531
"6318";"Papilio_demetrius";"Papilio_protenor";5,4209183823815;"Papilio_demetrius";"Papilio_protenor";1,0013236934;0;FALSE;"M";"D";"grayscale";32,3256295315107;-29,2183569469798
"4051";"Parnassius_actius";"Parnassius_jacquemontii";32,4632812192913;"Parnassius_actius";"Parnassius_jacquemontii";8,712118886;0,32178799450152;TRUE;"M";"V";"grayscale";10,643124223741;7,26108921544625
"5671";"Parnassius_nomion";"Parnassius_epaphus";91,0908958197294;"Parnassius_nomion";"Parnassius_epaphus";4,902490962;0;FALSE;"M";"V";"grayscale";21,4387341026836;61,1900276928424
"8911";"Protesilaus_molops";"Protesilaus_protesilaus";60,8708368476419;"Protesilaus_molops";"Protesilaus_protesilaus";2,9490224442;0,848977420908582;TRUE;"M";"V";"grayscale";19,3639070144572;31,8730154784842
"10531";"Graphium_angolanus";"Graphium_ridleyanus";59,8585581561947;"Graphium_angolanus";"Graphium_ridleyanus";15,438641774;0,413463883821531;TRUE;"M";"V";"grayscale";43,6706618794569;20,2814763289893
"12151";"Graphium_latreillianus";"Graphium_leonidas";32,7703776509175;"Graphium_latreillianus";"Graphium_leonidas";16,198616398;0,403814465888067;TRUE;"M";"V";"grayscale";48,3462827474998;-8,84171918511306
"13771";"Graphium_antiphates";"Graphium_agetes";91,1693434273633;"Graphium_antiphates";"Graphium_agetes";39,893295552;0,384990642279718;TRUE;"M";"V";"grayscale";34,7709386190972;55,4657729306015
"18631";"Graphium_milon";"Graphium_sarpedon";61,3147804102527;"Graphium_milon";"Graphium_sarpedon";10,876957306;0,0209775821856747;FALSE;"M";"V";"grayscale";37,6804054002067;24,3448949717248
"21061";"Battus_belus";"Battus_crassus";34,2077088980451;"Battus_belus";"Battus_crassus";19,893818298;0,532934194265273;TRUE;"M";"V";"grayscale";23,195664139259;3,54215537540161
"26731";"Euryades_corethrus";"Euryades_duponchelii";62,0797839872828;"Euryades_corethrus";"Euryades_duponchelii";23,97718158;0,3300647988778;TRUE;"M";"V";"grayscale";47,6203638981315;20,7836357269271
"28351";"Parides_ascanius";"Parides_bunichus";36,3695098833523;"Parides_ascanius";"Parides_bunichus";10,158552726;0;FALSE;"M";"V";"grayscale";18,5313660245434;7,73404325974655
"29971";"Parides_aeneas";"Parides_tros";19,0679051534462;"Parides_aeneas";"Parides_tros";16,421856434;0;FALSE;"M";"V";"grayscale";21,3838459510483;-10,809073480358
"31591";"Parides_eurimedes";"Parides_zacynthus";21,8825857478754;"Parides_eurimedes";"Parides_zacynthus";6,318906044;0;FALSE;"M";"V";"grayscale";19,890556329147;-7,34445421920284
"33211";"Parides_erithalion";"Parides_vertumnus";25,0921214476616;"Parides_erithalion";"Parides_vertumnus";4,406983634;0,244418876751322;TRUE;"M";"V";"grayscale";38,0304581818807;-12,030120797522
"34831";"Trogonoptera_brookiana";"Trogonoptera_trojana";10,1279568706238;"Trogonoptera_brookiana";"Trogonoptera_trojana";3,025250848;0;FALSE;"M";"V";"grayscale";25,6704313730572;-21,6147131690045
"36451";"Ornithoptera_aesacus";"Ornithoptera_euphorion";29,2587175555457;"Ornithoptera_aesacus";"Ornithoptera_euphorion";1,2520188842;0;FALSE;"M";"V";"grayscale";28,1685987083941;-3,57125365016187
"38071";"Troides_amphrysus";"Troides_miranda";13,0139517797375;"Troides_amphrysus";"Troides_miranda";6,51134828;0,219196042847183;TRUE;"M";"V";"grayscale";9,48363211032426;-11,6835834266446
"39691";"Troides_prattorum";"Troides_vandepolli";27,2124773044717;"Troides_prattorum";"Troides_vandepolli";8,77210368;0;FALSE;"M";"V";"grayscale";19,3484805932647;-1,77862987644325
