;id;genus;sp;ssp;sex;form;num;box;Subgenus;Hauteur_platine;UV
2;ACC0002;Pachliopta;liris;aberrans;F;;785;EL-B4768;-;60;NA
5;ACC0005;Pachliopta;polydorus;polydorus;M;;788;EL-B4769;-;60;NA
6;ACC0006;Pachliopta;polydorus;septentrionalis;F;;789;EL-B4769;-;60;NA
17;ACC0017;Troides;aeacus;aeacus;M;;800;EL-B4772;-;60;NA
19;ACC0019;Troides;aeacus;aeacus;F;;802;EL-B4772;-;60;NA
25;ACC0025;Troides;prattorum;-;M;;808;EL-B4775;-;70;NA
27;ACC0027;Troides;prattorum;-;F;;810;EL-B4775;-;70;NA
28;ACC0028;Troides;haliphron;haliphron;M;;811;EL-B4776;-;60;NA
31;ACC0031;Troides;haliphron;haliphron;F;;814;EL-B4777;-;60;NA
36;ACC0036;Troides;amphrysus;amphrysus;M;;819;EL-B4779;-;60;NA
37;ACC0037;Troides;amphrysus;amphrysus;F;;820;EL-B4779;-;60;NA
48;ACC0048;Troides;criton;criton;M;;831;EL-B4783;-;60;NA
49;ACC0049;Troides;criton;criton;F;androgyna;832;EL-B4784;-;60;NA
50;ACC0050;Troides;criton;criton;F;androgyna;833;EL-B4784;-;60;NA
60;ACC0060;Troides;minos;minos;M;;843;EL-B4787;-;60;NA
62;ACC0062;Troides;minos;minos;F;;845;EL-B4788;-;60;NA
63;ACC0063;Troides;miranda;miranda;M;;846;EL-B4789;-;60;NA
66;ACC0066;Troides;miranda;miranda;F;;849;EL-B4789;-;60;NA
71;ACC0071;Troides;rhadamantus;rhadamantus;M;;854;EL-B4792;-;60;NA
74;ACC0074;Troides;rhadamantus;rhadamantus;F;;857;EL-B4792;-;60;NA
77;ACC0077;Troides;vandepolli;vandepolli;M;;860;EL-B4793;-;60;NA
79;ACC0079;Troides;vandepolli;vandepolli;F;;862;EL-B4793;-;60;NA
81;ACC0081;Trogonoptera;brookiana;brookiana;M;;864;EL-B4050;-;60;NA
83;ACC0083;Trogonoptera;brookiana;brookiana;F;;866;EL-B4050;-;60;NA
84;ACC0084;Trogonoptera;trojana;trojana;M;;867;EL-B4059;-;65;NA
87;ACC0087;Trogonoptera;trojana;trojana;F;;870;EL-B4059;-;65;NA
88;ACC0088;Euryades;corethrus;-;M;;871;EL-B4794;-;60;NA
91;ACC0091;Euryades;corethrus;-;F;;874;EL-B4794;-;60;NA
92;ACC0092;Euryades;duponchelii;-;M;;875;EL-B4794;-;60;NA
95;ACC0095;Euryades;duponchelii;-;F;;878;EL-B4794;-;60;NA
96;ACC0096;Parides;aeneas;aeneas;M;;879;EL-B4795;-;60;NA
98;ACC0098;Parides;aeneas;aeneas;F;;881;EL-B4795;-;60;NA
101;ACC0101;Parides;tros;-;M;;884;EL-B4796;-;60;NA
102;ACC0102;Parides;tros;-;F;;885;EL-B4796;-;60;NA
112;ACC0112;Parides;eurimedes;eurimedes;M;;895;BAC-0002;-;60;NA
115;ACC0115;Parides;eurimedes;eurimedes;F;;898;BAC-0002;-;60;NA
117;ACC0117;Parides;zacynthus;zacynthus;F;;900;BAC-0002;-;60;NA
119;ACC0119;Parides;zacynthus;zacynthus;M;;902;BAC-0003;-;60;NA
128;ACC0128;Parides;vertumnus;vertumnus;M;;911;BAC-0006;-;60;NA
129;ACC0129;Parides;vertumnus;vertumnus;M;;912;BAC-0006;-;60;NA
130;ACC0130;Parides;vertumnus;vertumnus;F;;913;BAC-0006;-;60;NA
131;ACC0131;Parides;vertumnus;vertumnus;F;;914;BAC-0006;-;60;NA
148;ACC0148;Parides;ascanius;-;M;;931;BAC-0010;-;60;NA
151;ACC0151;Parides;ascanius;-;F;;934;BAC-0010;-;60;NA
164;ACC0164;Parides;bunichus;bunichus;M;;947;BAC-0014;-;60;NA
166;ACC0166;Parides;bunichus;bunichus;F;;949;BAC-0014;-;60;NA
168;ACC0168;Parides;erithalion;erithalion;M;;951;BAC-0015;-;60;NA
169;ACC0169;Parides;erithalion;erithalion;M;;952;BAC-0015;-;60;NA
170;ACC0170;Parides;erithalion;erithalion;F;;953;BAC-0015;-;60;NA
171;ACC0171;Parides;erithalion;erithalion;F;;954;BAC-0015;-;60;NA
180;ACC0180;Battus;belus;belus;M;;963;BAC-0018;-;60;NA
182;ACC0182;Battus;belus;belus;F;;965;BAC-0018;-;60;NA
183;ACC0183;Battus;belus;belus;F;;966;BAC-0018;-;60;NA
