num;id;box;genus;Subgenus;sp;ssp;loc;sex;Hauteur_platine;form;Note
1;EL72409;B0003912;Ornithoptera;-;alexandrae;-;Nouvelle-Guinée (NE);M;80;;
2;EL72410;B0003912;Ornithoptera;-;alexandrae;-;Nouvelle-Guinée (Kokodda);M;80;;
3;EL72411;B0003913;Ornithoptera;-;alexandrae;-;Nouvelle-Guinée (NE);F;89;;
4;EL72412;B0003913;Ornithoptera;-;alexandrae;-;Nouvelle-Guinée (Kokodda);F;89;;
5;EL72413;B0003914;Ornithoptera;-;victoriae;victoriae;Îles Salomon (Guadalcanal);M;75;;
6;EL72414;B0003914;Ornithoptera;-;victoriae;rubianus;Îles Salomon (Ranongga);M;75;;
7;EL72415;B0003914;Ornithoptera;-;victoriae;victoriae;Îles Salomon (Guadalcanal);F;75;;
8;EL72416;B0003914;Ornithoptera;-;victoriae;victoriae;Îles Salomon (Guadalcanal);F;75;;
9;EL72417;B0003915;Ornithoptera;-;aesacus;-;Indonésie (Îles Obi);M;67;;
10;EL72418;B0003915;Ornithoptera;-;aesacus;-;Indonésie (Îles Obi);F;67;;
11;EL72419;B0003915;Ornithoptera;-;priamus;priamus;Indonésie (Ceram);M;67;;
12;EL72420;B0003915;Ornithoptera;-;priamus;priamus;Indonésie (Ceram);M;67;;
13;EL72421;B0003916;Ornithoptera;-;priamus;priamus;Indonésie (Amboine);F;67;;
14;EL72422;B0003916;Ornithoptera;-;priamus;priamus;Indonésie (Amboine);F;70;;
15;EL72423;B0003917;Ornithoptera;-;croesus;croesus;Indonésie (Bacan);M;70;;
16;EL72424;B0003917;Ornithoptera;-;croesus;croesus;Indonésie (Bacan);M;70;;
17;EL72425;B0003918;Ornithoptera;-;croesus;croesus;Indonésie (Bacan);F;70;;
18;EL72426;B0003918;Ornithoptera;-;croesus;croesus;Indonésie (Bacan);F;70;;
19;EL72427;B0003919;Ornithoptera;-;goliath;procus;Indonésie (Ceram);M;85;;
20;EL72428;B0003920;Ornithoptera;-;goliath;supremus;Papouasie-Nouvelle-Guinée;M;85;;
21;EL72429;B0003919;Ornithoptera;-;goliath;procus;Indonésie (Ceram);F;85;;
