id;view;meanb
ACC0002;D;0.056156507
ACC0002;V;0.094863723
ACC0005;D;0.044121734
ACC0005;V;0.068357598
ACC0006;D;0.045448167
ACC0006;V;0.064717508
ACC0017;D;0.050972695
ACC0017;V;0.085699617
ACC0019;D;0.042936698
ACC0019;V;0.052726053
ACC0025;D;0.051871679
ACC0025;V;0.079679341
ACC0027;D;0.052769292
ACC0027;V;0.06711833
ACC0028;D;0.037820759
ACC0028;V;0.070937173
ACC0031;D;0.055434632
ACC0031;V;0.070235377
ACC0036;D;0.047182903
ACC0036;V;0.054992145
ACC0037;D;0.043805581
ACC0037;V;0.050624524
ACC0048;D;0.039479176
ACC0048;V;0.054150313
ACC0049;D;0.033734368
ACC0049;V;0.042261045
ACC0050;D;0.035326263
ACC0050;V;0.04417514
ACC0060;D;0.039744386
ACC0060;V;0.061653717
ACC0062;D;0.055628727
ACC0062;V;0.064353798
ACC0063;D;0.05348914
ACC0063;V;0.05212009
ACC0066;D;0.038867723
ACC0066;V;0.042900374
ACC0071;D;0.047120616
ACC0071;V;0.085094839
ACC0074;D;0.040092997
ACC0074;V;0.057226441
ACC0077;D;0.042465143
ACC0077;V;0.061255479
ACC0079;D;0.051418233
ACC0079;V;0.067354874
ACC0081;D;0.025865944
ACC0081;V;0.038276382
ACC0083;D;0.042966936
ACC0083;V;0.064701253
ACC0084;D;0.02331941
ACC0084;V;0.031119108
ACC0087;D;0.060636964
ACC0087;V;0.118073055
ACC0088;D;0.074881866
ACC0088;V;0.100264942
ACC0091;D;0.091537312
ACC0091;V;0.109877628
ACC0092;D;0.041732595
ACC0092;V;0.066725129
ACC0095;D;0.071074717
ACC0095;V;0.116862391
ACC0096;D;0.049123787
ACC0096;V;0.053728553
ACC0098;D;0.077112562
ACC0098;V;0.079474641
ACC0101;D;0.030916459
ACC0101;V;0.04452163
ACC0102;D;0.039714023
ACC0102;V;0.055926039
ACC0112;D;0.039558233
ACC0112;V;0.055354566
ACC0115;D;0.04315802
ACC0115;V;0.051846427
ACC0117;D;0.05511936
ACC0117;V;0.072285381
ACC0119;D;0.044881217
ACC0119;V;0.059545365
ACC0128;D;0.041000691
ACC0128;V;0.049371546
ACC0129;D;0.031863031
ACC0129;V;0.054929886
ACC0130;D;0.045817714
ACC0130;V;0.054745146
ACC0131;D;0.045938183
ACC0131;V;0.059523693
ACC0148;D;0.068005278
ACC0148;V;0.082837775
ACC0151;D;0.0691747
ACC0151;V;0.075001222
ACC0164;D;0.047136672
ACC0164;V;0.069278654
ACC0166;D;0.045711991
ACC0166;V;0.058085628
ACC0168;D;0.042723687
ACC0168;V;0.047167945
ACC0169;D;0.030588691
ACC0169;V;0.037331475
ACC0170;D;0.04146647
ACC0170;V;0.059594711
ACC0171;D;0.041244235
ACC0171;V;0.055149593
ACC0180;D;0.028653518
ACC0180;V;0.046307362
ACC0182;D;0.029745131
ACC0182;V;0.045388418
ACC0183;D;0.04161628
ACC0183;V;0.048954247
ACC0184;D;0.032576478
ACC0184;V;0.072144645
ACC0185;D;0.032796398
ACC0185;V;0.050439835
ACC0186;D;0.031826696
ACC0186;V;0.062575343
ACC0192;D;0.038405545
ACC0192;V;0.054898207
ACC0195;D;0.052621735
ACC0195;V;0.062309146
ACC0207;D;0.120287444
ACC0207;V;0.167855747
ACC0208;D;0.152456139
ACC0208;V;0.187161147
ACC0209;D;0.121631627
ACC0209;V;0.161427242
ACC0213;D;0.110566181
ACC0213;V;0.124283224
ACC0216;D;0.108967533
ACC0216;V;0.155631029
ACC0242;D;0.083509113
ACC0242;V;0.118142206
ACC0243;D;0.081063735
ACC0243;V;0.111694583
ACC0244;D;0.109635045
ACC0244;V;0.123319181
ACC0261;D;0.030492311
ACC0261;V;0.084557045
ACC0263;D;0.035206425
ACC0263;V;0.089925709
ACC0264;D;0.049836462
ACC0264;V;0.103512101
ACC0267;D;0.051813677
ACC0267;V;0.104300234
ACC0297;D;0.086367703
ACC0297;V;0.122192713
ACC0298;D;0.119802149
ACC0298;V;0.19330133
ACC0301;D;0.099830719
ACC0301;V;0.200939391
ACC0302;D;0.123145791
ACC0302;V;0.168617198
ACC0318;D;0.076919267
ACC0318;V;0.165929578
ACC0320;D;0.090589053
ACC0320;V;0.169102389
ACC0324;D;0.088876043
ACC0324;V;0.144130347
ACC0326;D;0.108098251
ACC0326;V;0.142438709
ACC0331;D;0.112367096
ACC0331;V;0.190668327
ACC0333;D;0.11027975
ACC0333;V;0.140081961
ACC0370;D;0.103027808
ACC0370;V;0.152162114
ACC0373;D;0.092459712
ACC0373;V;0.141249442
ACC0378;D;0.085364264
ACC0378;V;0.185664724
ACC0379;D;0.078912319
ACC0379;V;0.134660418
ACC0380;D;0.102605272
ACC0380;V;0.196721414
ACC0381;D;0.09294834
ACC0381;V;0.136784738
ACC0382;D;0.123762965
ACC0382;V;0.133438792
ACC0383;D;0.114224466
ACC0383;V;0.198645465
ACC0384;D;0.101381689
ACC0384;V;0.137166863
ACC0385;D;0.093730716
ACC0385;V;0.188812059
ACC0387;D;0.097209449
ACC0387;V;0.16656825
ACC0388;D;0.098472453
ACC0388;V;0.161119696
ACC0389;D;0.102815158
ACC0389;V;0.17081952
ACC0390;D;0.135234437
ACC0390;V;0.235089814
ACC0391;D;0.091149997
ACC0391;V;0.174507553
ACC0393;D;0.173272201
ACC0393;V;0.257522136
ACC0394;D;0.106474976
ACC0394;V;0.1885375
ACC0395;D;0.079388841
ACC0395;V;0.134160252
ACC0396;D;0.130820879
ACC0396;V;0.160192304
ACC0397;D;0.145709866
ACC0397;V;0.196805911
ACC0402;D;0.081912084
ACC0402;V;0.163599468
ACC0403;D;0.079529678
ACC0403;V;0.147449396
ACC0404;D;0.078314094
ACC0404;V;0.190063646
ACC0407;D;0.08460731
ACC0407;V;0.123281401
ACC0408;D;0.083516303
ACC0408;V;0.171197796
ACC0411;D;0.129734617
ACC0411;V;0.209804966
ACC0416;D;0.071629858
ACC0416;V;0.13752143
ACC0419;D;0.108127557
ACC0419;V;0.157079402
AP0087D;;0.051036806
AP0087V;;0.060021281
AP0086D;;0.051670926
AP0086V;;0.063437122
EL43105;D;0.050702679
EL43105;V;0.062959893
EL43106;D;0.031879062
EL43106;V;0.043707527
EL43108;D;0.041702173
EL43108;V;0.059102115
EL43143;D;0.02491743
EL43143;V;0.048119518
EL43144;D;0.034115689
EL43144;V;0.066324163
EL43145;D;0.030595799
EL43145;V;0.056559853
EL43168;D;0.034523789
EL43168;V;0.046041649
EL43171;D;0.040716747
EL43171;V;0.051620855
EL43178;D;0.032704543
EL43178;V;0.065516461
EL43179;D;0.043944289
EL43179;V;0.062517831
EL43181;D;0.029712292
EL43181;V;0.041042512
EL43216;D;0.031865147
EL43216;V;0.046028661
EL43218;D;0.047375044
EL43218;V;0.070949395
EL43219;D;0.049204369
EL43219;V;0.067375427
EL43224;D;0.04217035
EL43224;V;0.055387746
EL43226;D;0.046193619
EL43226;V;0.062970234
EL43229;D;0.036595165
EL43229;V;0.058355966
EL43230;D;0.038742528
EL43230;V;0.058644276
EL43239;D;0.058485125
EL43239;V;0.084590198
EL43240;D;0.062841991
EL43240;V;0.095445481
EL43249;D;0.053575932
EL43249;V;0.094612063
EL72366;D;0.096787608
EL72366;V;0.10453043
EL72367;D;0.08092803
EL72367;V;0.095109091
EL72407;D;0.113612796
EL72407;V;0.118580128
EL72417;D;0.027907797
EL72417;V;0.061014818
EL72418;D;0.0530973
EL72418;V;0.057056069
EL72444;D;0.027808805
EL72444;V;0.049433961
EL72446;D;0.043379213
EL72446;V;0.057388739
EL72484;D;0.031673058
EL72484;V;0.063891589
EL72487;D;0.039892166
EL72487;V;0.075026694
EL72488;D;0.031083582
EL72488;V;0.059721149
EL72490;D;0.031049656
EL72490;V;0.062339659
EL72494;D;0.041069146
EL72494;V;0.076094341
EL72495;D;0.042071301
EL72495;V;0.073325447
EL72508;D;0.045643996
EL72508;V;0.068944616
EL72509;D;0.039594448
EL72509;V;0.07634861
EL72510;D;0.037870563
EL72510;V;0.070355012
EL72573;D;0.037096071
EL72573;V;0.055887815
EL72575;D;0.061405669
EL72575;V;0.085096273
EL72583;D;0.057253791
EL72583;V;0.074205185
EL72586;D;0.037881828
EL72586;V;0.060035576
EL72599;D;0.04908318
EL72599;V;0.098063696
EL72600;D;0.055648343
EL72600;V;0.096294885
EL72601;D;0.069939372
EL72601;V;0.097876244
EL72602;D;0.074931622
EL72602;V;0.122372175
EL72603;D;0.036018272
EL72603;V;0.055023904
EL72604;D;0.045856375
