id;view;meanb
AC0038;D;0.075146461
AC0038;V;0.116674432
AC0087;D;0.132231171
AC0087;V;0.250469535
AC0402;D;0.214290581
ACC0002;D;0.120936088
ACC0002;V;0.228279943
ACC0005;D;0.098371426
ACC0005;V;0.146811946
ACC0006;D;0.09452817
ACC0006;V;0.13758099
ACC0017;D;0.128770757
ACC0017;V;0.175463102
ACC0019;D;0.084645939
ACC0019;V;0.101451923
ACC0024;D;0.098287077
ACC0024;V;0.132740796
ACC00267;D;0.113549444
ACC0026;D;0.090863309
ACC0026;V;0.129982318
ACC0035;D;0.132778603
ACC0035;V;0.137820352
ACC0038;D;0.07517226
ACC0038;V;0.116665727
ACC0048;D;0.075973088
ACC0048;V;0.107447729
ACC0050;D;0.05601892
ACC0050;V;0.075788347
ACC0060;D;0.073019265
ACC0060;V;0.117493335
ACC0062;D;0.124876882
ACC0062;V;0.154667676
ACC0063;D;0.118918336
ACC0063;V;0.118071181
ACC0066;D;0.078323745
ACC0066;V;0.088219064
ACC0071;D;0.090337175
ACC0071;V;0.155497413
ACC0074;D;0.083705992
ACC0074;V;0.118505079
ACC0077;D;0.073867713
ACC0077;V;0.096370308
ACC0079;D;0.104562864
ACC0079;V;0.142719319
ACC0087;D;0.132223341
ACC0087;V;0.250500036
ACC0088;D;0.153494568
ACC0088;V;0.226305548
ACC0091;D;0.203358564
ACC0091;V;0.20063278
ACC0092;D;0.083371306
ACC0092;V;0.138539389
ACC0095;D;0.144314682
ACC0095;V;0.193905993
ACC0096;D;0.090792264
ACC0096;V;0.111484649
ACC0098;D;0.154048627
ACC0098;V;0.183119571
ACC0100;D;0.055096599
ACC0100;V;0.09398538
ACC0103;D;0.070768119
ACC0103;V;0.129509186
ACC0112;D;0.059524666
ACC0112;V;0.104899017
ACC0115;D;0.08661521
ACC0115;V;0.110802855
ACC0117;D;0.123668614
ACC0117;V;0.150420678
ACC0118;D;0.073050102
ACC0118;V;0.127973784
ACC0119;D;0.083675876
ACC0119;V;0.121861728
ACC0128;D;0.072479487
ACC0128;V;0.093472336
ACC0129;D;0.045337548
ACC0129;V;0.099604031
ACC0130;D;0.070955338
ACC0130;V;0.104251121
ACC0148;D;0.14636142
ACC0148;V;0.173542208
ACC0151;D;0.146413186
ACC0151;V;0.170549418
ACC0165;D;0.130550619
ACC0165;V;0.161269023
ACC0166;D;0.092069743
ACC0166;V;0.132532497
ACC0168;D;0.077262268
ACC0168;V;0.087356746
ACC0169;D;0.055413795
ACC0169;V;0.075281736
ACC0170;D;0.071721691
ACC0170;V;0.115209135
ACC0171;D;0.075055264
ACC0171;V;0.104231454
ACC0180;D;0.056304603
ACC0180;V;0.071739291
ACC0182;D;0.032278869
ACC0182;V;0.063031381
ACC0183;D;0.063746056
ACC0183;V;0.083408153
ACC0184;D;0.069291282
ACC0184;V;0.136686747
ACC0185;D;0.077941804
ACC0186;D;0.04321917
ACC0186;V;0.10709993
ACC0187;D;0.077839256
ACC0187;V;0.136910711
ACC0192;D;0.070560602
ACC0192;V;0.105315225
ACC0195;D;0.093305972
ACC0195;V;0.120460795
ACC0207;D;0.234764888
ACC0207;V;0.348104711
ACC0208;D;0.281256975
ACC0208;V;0.385302213
ACC0209;D;0.236953228
ACC0209;V;0.337705925
ACC0213;D;0.192338546
ACC0213;V;0.238053623
ACC0216;D;0.226386122
ACC0216;V;0.326780158
ACC0244;D;0.240449735
ACC0244;V;0.28047963
ACC0261;D;0.058390945
ACC0261;V;0.18565006
ACC0263;D;0.062183495
ACC0263;V;0.184134573
ACC0264;D;0.12833483
ACC0264;V;0.253198018
ACC0266;D;0.115406373
ACC0266;V;0.235836886
ACC0267;V;0.237545042
ACC0297;D;0.108432835
ACC0297;V;0.124418087
ACC0298;D;0.159575161
ACC0298;V;0.244202356
ACC02;V;0.104921002
ACC0302;D;0.195718002
ACC0302;V;0.267979353
ACC0320;V;0.224912417
ACC0326;D;0.141076488
ACC0326;V;0.201987079
ACC0333;D;0.118320902
ACC0333;V;0.147946209
ACC0370;D;0.155776178
ACC0370;V;0.314614923
ACC0373;D;0.19099982
ACC0373;V;0.329259856
ACC0378;D;0.141717439
ACC0378;V;0.246259935
ACC0379;D;0.13596991
ACC0379;V;0.188972495
ACC0380;D;0.271650345
ACC0380;V;0.474235892
ACC0381;D;0.27081101
ACC0381;V;0.433289106
ACC0387;D;0.2166908
ACC0387;V;0.359526333
ACC0388;D;0.144034016
ACC0388;V;0.208148258
ACC0389;D;0.249707521
ACC0389;V;0.379684045
ACC0391;D;0.229254145
ACC0391;V;0.416015787
ACC0393;D;0.270720911
ACC0393;V;0.298897485
ACC0394;D;0.260987981
ACC0394;V;0.403122315
ACC0395;D;0.203867085
ACC0395;V;0.329555951
ACC0396;D;0.307383469
ACC0396;V;0.356639881
ACC0397;D;0.347126405
ACC0397;V;0.338495219
ACC0402;D;0.214402358
ACC0402;V;0.396936466
ACC0403;D;0.189262945
ACC0403;V;0.369142923
ACC040;3;0.369180922
ACC0404;D;0.180268585
ACC040;4;0.38007512
ACC0407;D;0.185470011
ACC0407;V;0.234446419
ACC0408;D;0.228760371
ACC0408;V;0.38654795
ACC0411;D;0.345106441
ACC0411;V;0.375587957
ACC0416;D;0.157923226
ACC0416;V;0.270281195
ACC0419;D;0.244937073
ACC05;D;0.146395032
AP0001;D;0.056254407
AP0001;V;0.113438578
AP0002;D;0.066757315
AP0003;D;0.089662533
AP0003;V;0.140544901
AP0004;V;0.101708901
AP0005;D;0.081133631
AP0005;V;0.09050617
AP0006;D;0.039635148
AP0006;V;0.106647578
AP0007;D;0.038212198
AP0007;V;0.095087773
AP0008;D;0.050116083
AP0008;V;0.059281623
AP0009;D;0.044040352
AP0009;V;0.115719845
AP0010;D;0.064750449
AP0010;V;0.058334526
AP0011;D;0.062623991
AP0011;V;0.091958155
AP001;1;0.062623991
AP0012;D;0.172423206
AP0012;V;0.245625364
AP0013;D;0.197652132
AP0013;V;0.271908809
AP0014;D;0.146295986
AP0014;V;0.183433808
AP0015;D;0.095775745
AP0015;V;0.151465074
AP0016;V;0.141086552
AP0017;D;0.095528064
AP0017;V;0.202119251
AP0018;D;0.076862021
AP0018;V;0.201375776
AP0019;D;0.052583934
AP0019;V;0.10796136
AP0020;D;0.102026819
AP0020;V;0.095378306
AP0021D;V;0.143783347
AP0021;D;0.095388554
AP0021;V;0.143783347
AP0022;D;0.082991802
AP0022;V;0.107178903
AP0023;D;0.250647534
AP0023;V;0.278005582
AP0024;D;0.085094756
AP0024;V;0.136509408
AP0025;D;0.123459966
AP0025;V;0.112538189
AP0026;D;0.18376726
AP0026;V;0.101687198
AP0027;D;0.049475912
AP0027;V;0.082611684
AP0028;D;0.060596904
AP0028;V;0.081821679
AP0029;D;0.060476074
AP0029;V;0.085462071
AP0030;D;0.063417967
AP0030;V;0.072132019
AP0031;D;0.035693704
AP0031;V;0.085964298
AP0032;D;0.127130798
AP0032;V;0.241694728
AP0033;D;0.166910291
AP0033;V;0.290841346
AP0034;D;0.152227704
AP0034;V;0.249294233
AP0035;D;0.102028257
AP0035;V;0.195450068
AP0036;D;0.123004623
AP0036;V;0.170878043
AP0037;D;0.097418024
AP0037;V;0.121972005
AP0038;D;0.226284159
AP0038;V;0.360791175
AP0039;D;0.226271486
AP0039;V;0.09182062
AP0040;D;0.093150774
AP0040;V;0.134170269
AP0041;D;0.039651773
AP0041;V;0.067375275
AP0042;D;0.035286754
AP0042;V;0.05973214
AP0043;D;0.119861627
AP0043;V;0.079120446
AP0044;D;0.112279679
AP0044;V;0.169063034
AP0045;D;0.093484239
AP0045;V;0.158875593
AP0046;D;0.119814055
AP0046;V;0.19124003
AP0047;D;0.10317711
AP0047;V;0.18556943
AP0048Dti;f;0.064828321
AP0048;D;0.064828321
AP0048;V;0.111892931
AP0049;D;0.041701277
AP0049;V;0.15108301
AP0050;D;0.105011346
AP0051;D;0.05379306
AP0051;V;0.155755936
AP0052;D;0.071084264
AP0052;V;0.138164184
AP0053;D;0.107150314
AP0053;V;0.163386441
AP0054;D;0.101314952
AP0054;V;0.176799034
AP0055;D;0.067547518
AP0055;V;0.129143597
AP0056;D;0.049520316
AP0056;V;0.133473701
AP0057;D;0.074439516
AP0057;V;0.198874208
AP0058;D;0.053675878
AP0058;V;0.138386351
AP0059;D;0.085660663
AP0059;V;0.11831981
AP0060;D;0.054119806
AP0060;V;0.120103629
AP0061;D;0.08058326
AP0061;V;0.207734024
AP0062;D;0.126441922
AP0062;V;0.045612712
AP0063;D;0.081874878
AP0063;V;0.137665205
AP0064;D;0.072594821
AP0064;V;0.217824205
