id;view;meanb;Ant;Post
AC0038;D;0.092202382;0.074570807;0.125195083
AC0038;V;0.139866274;0.124746104;0.157583907
AC0087;D;0.151991719;0.146929751;0.168052433
AC0087;V;0.267264111;0.298780887;0.213824591
AC0402;D;0.266384687;0.288466658;0.235121528
ACC0002;D;0.155913291;0.172758993;0.131288316
ACC0002;V;0.257015213;0.325929635;0.190757414
ACC0005;D;0.13161832;0.131378718;0.131990462
ACC0005;V;0.175853377;0.198187506;0.152777077
ACC0006;D;0.125234543;0.120389609;0.132956451
ACC0006;V;0.168380098;0.181531389;0.152962481
ACC0017;D;0.145216564;0.111117863;0.217408101
ACC0017;V;0.206457104;0.189344208;0.232123399
ACC0019;D;0.104618185;0.101859645;0.111515801
ACC0019;V;0.123405887;0.111159168;0.140709343
ACC0024;D;0.111026913;0.099318756;0.135042932
ACC0024;V;0.157153489;0.145735309;0.170881215
ACC00267;D;0.158115134;0.154632315;0.163648082
ACC0026;D;0.110455763;0.120146487;0.094034075
ACC0026;V;0.147334411;0.159882534;0.133856847
ACC0035;D;0.152940847;0.132127772;0.194767529
ACC0035;V;0.166674139;0.13646513;0.202451443
ACC0038;D;0.092230433;0.07461727;0.125190502
ACC0038;V;0.139826667;0.1247077;0.157544768
ACC0048;D;0.096007542;0.071303867;0.1489083
ACC0048;V;0.135187949;0.095437756;0.186279896
ACC0050;D;0.076101902;0.057375303;0.111898816
ACC0050;V;0.097379575;0.071410348;0.12778969
ACC0060;D;0.092757863;0.082566629;0.117747919
ACC0060;V;0.145177046;0.135631621;0.15922042
ACC0062;D;0.149266557;0.149850556;0.147890488
ACC0062;V;0.179399167;0.190049914;0.16285293
ACC0063;D;0.139709622;0.129716659;0.159475392
ACC0063;V;0.144505183;0.117727751;0.175713573
ACC0066;D;0.09710044;0.106496017;0.079410975
ACC0066;V;0.106955881;0.121895881;0.088752005
ACC0071;D;0.109555715;0.084238981;0.167440515
ACC0071;V;0.187108608;0.181231246;0.196582617
ACC0074;D;0.103183366;0.092265767;0.130501115
ACC0074;V;0.144365332;0.158115994;0.124343101
ACC0077;D;0.088859464;0.068526184;0.132361034
ACC0077;V;0.119702238;0.096608977;0.150330502
ACC0079;D;0.123847896;0.114726515;0.141683027
ACC0079;V;0.164838324;0.178965684;0.145712845
ACC0087;D;0.15195035;0.14688756;0.168008616
ACC0087;V;0.267203665;0.298684392;0.21383212
ACC0088;D;0.192640928;0.216416888;0.158704634
ACC0088;V;0.251838896;0.31539477;0.197396317
ACC0091;D;0.239299829;0.256335969;0.212400648
ACC0091;V;0.227695618;0.264702306;0.193365558
ACC0092;D;0.118195386;0.112388491;0.127396176
ACC0092;V;0.171825415;0.182629914;0.162783342
ACC0095;D;0.171075711;0.164250078;0.180119633
ACC0095;V;0.225954108;0.250692022;0.204300786
ACC0096;D;0.130135155;0.098664406;0.195367548
ACC0096;V;0.153108065;0.157661897;0.147360952
ACC0098;D;0.199781386;0.217821995;0.166488249
ACC0098;V;0.229744417;0.250803326;0.202951037
ACC0100;D;0.088937015;0.086222858;0.09360118
ACC0100;V;0.131696744;0.125195201;0.139254399
ACC0103;D;0.100706847;0.088971812;0.124154138
ACC0103;V;0.164745201;0.164259435;0.16534665
ACC0112;D;0.102133507;0.104644501;0.097186197
ACC0112;V;0.146849192;0.147700914;0.145773078
ACC0115;D;0.125009823;0.115123354;0.144013971
ACC0115;V;0.152375818;0.132780453;0.177580755
ACC0117;D;0.158356548;0.151195914;0.174138402
ACC0117;V;0.190887285;0.213776304;0.16079519
ACC0118;D;0.11280013;0.113280001;0.111832804
ACC0118;V;0.170424497;0.16238941;0.179436208
ACC0119;D;0.126790072;0.124718746;0.132055556
ACC0119;V;0.167168489;0.164528275;0.170878533
ACC0128;D;0.110875482;0.085056354;0.155293643
ACC0128;V;0.134543276;0.144868734;0.122687019
ACC0129;D;0.081106259;0.076467943;0.090747608
ACC0129;V;0.139732966;0.15036199;0.124590973
ACC0130;D;0.103641736;0.103468122;0.103972202
ACC0130;V;0.139927985;0.137620485;0.142606939
ACC0148;D;0.183129587;0.187885734;0.176505853
ACC0148;V;0.204355596;0.216874932;0.192380838
ACC0151;D;0.181828273;0.187474203;0.173693415
ACC0151;V;0.199908259;0.223187596;0.178942649
ACC0165;D;0.173058292;0.153349651;0.195778334
ACC0165;V;0.203784959;0.221361209;0.188443918
ACC0166;D;0.129058106;0.112735195;0.152655612
ACC0166;V;0.172286762;0.162273481;0.181585789
ACC0168;D;0.116175679;0.074830568;0.185403803
ACC0168;V;0.12704263;0.11580258;0.139244909
ACC0169;D;0.086954754;0.070736387;0.118166512
ACC0169;V;0.112693715;0.095629257;0.133354874
ACC0170;D;0.104755482;0.102013524;0.110575752
ACC0170;V;0.153111917;0.144716362;0.163958618
ACC0171;D;0.109909224;0.103978908;0.12180161
ACC0171;V;0.144723874;0.140602553;0.149537623
ACC0180;D;0.086173734;0.07530325;0.105975461
ACC0180;V;0.106991991;0.113156947;0.10015135
ACC0182;D;0.059858311;0.057516076;0.064647649
ACC0182;V;0.093840948;0.106116361;0.078176259
ACC0183;D;0.089017317;0.076714399;0.11032579
ACC0183;V;0.1105776;0.10487918;0.117458581
ACC0184;D;0.102507257;0.088993195;0.126601507
ACC0184;V;0.172677267;0.203702106;0.14168486
ACC0185;D;0.112921286;0.130392307;0.085244981
ACC0186;D;0.073069697;0.072055019;0.075197952
ACC0186;V;0.13863221;0.173038688;0.10078112
ACC0187;D;0.104233181;0.095814859;0.120195748
ACC0187;V;0.168094342;0.190630565;0.141750382
ACC0192;D;0.098798816;0.089687687;0.111696819
ACC0192;V;0.135619481;0.124138766;0.146456859
ACC0195;D;0.121340223;0.112225781;0.133248068
ACC0195;V;0.150240567;0.14115352;0.157399202
ACC0207;D;0.266144865;0.313972596;0.209138753
ACC0207;V;0.383884384;0.408418362;0.364108477
ACC0208;D;0.318567112;0.340571768;0.290732864
ACC0208;V;0.419467663;0.448920488;0.397447363
ACC0209;D;0.274225747;0.316330272;0.220094302
ACC0209;V;0.379297861;0.462853452;0.313131373
ACC0213;D;0.226292032;0.217273372;0.238009549
ACC0213;V;0.272872959;0.293078787;0.257017488
ACC0216;D;0.265631746;0.333226471;0.181759419
ACC0216;V;0.370182058;0.422156624;0.323261399
ACC0244;D;0.277711376;0.283785607;0.271395668
ACC0244;V;0.317577722;0.305158814;0.325591459
ACC0261;D;0.095900387;0.085879161;0.111985489
ACC0261;V;0.219091456;0.199508323;0.240162714
ACC0263;D;0.097339274;0.094217912;0.102835731
ACC0263;V;0.220178461;0.217128245;0.223147319
ACC0264;D;0.150884949;0.151450755;0.149740668
ACC0264;V;0.282512174;0.255385204;0.312171024
ACC0266;D;0.148875239;0.150363565;0.146322759
ACC0266;V;0.263715128;0.257209589;0.272125373
ACC0267;V;0.272447362;0.257349305;0.288052366
ACC0297;D;0.145680516;0.155371407;0.130799531
ACC0297;V;0.164164313;0.17241727;0.156069103
ACC0298;D;0.204311097;0.232058;0.157420793
ACC0298;V;0.279154639;0.301068746;0.256391091
ACC02;V;0.14697399;0.147887585;0.14581996
ACC0302;D;0.234621026;0.264994976;0.177944607
ACC0302;V;0.304930546;0.337344869;0.269834878
ACC0320;V;0.25632462;0.307757728;0.210819863
ACC0326;D;0.171551532;0.187410005;0.146923138
ACC0326;V;0.229859136;0.22156898;0.236416409
ACC0333;D;0.148078641;0.154504022;0.138621322
ACC0333;V;0.177533749;0.20096399;0.156629894
ACC0370;D;0.19850941;0.232165761;0.151252411
ACC0370;V;0.356216435;0.400477743;0.319624669
ACC0373;D;0.228927672;0.243260687;0.209039665
ACC0373;V;0.371115898;0.389567264;0.355246951
ACC0378;D;0.185864116;0.21969708;0.137667496
ACC0378;V;0.277354724;0.340884252;0.219387372
ACC0379;D;0.182719582;0.211592518;0.137448335
