;id;view;meanb;Ant;Post
6;AC0038;D;0.089101873;0.074570807;0.131526886
7;AC0038;V;0.149124307;0.139644564;0.157583907
8;AC0087;D;0.15564188;0.146929751;0.207401517
9;AC0087;V;0.261530149;0.295805713;0.213824591
10;AC0402;D;0.280110537;0.288466658;0.262472577
11;ACC0002;D;0.162707828;0.172758993;0.143371427
12;ACC0002;V;0.238026517;0.300849194;0.190757414
13;ACC0005;D;0.136453596;0.131378718;0.147224951
14;ACC0005;V;0.169889174;0.191643874;0.152777077
15;ACC0006;D;0.127982555;0.120389609;0.144849968
16;ACC0006;V;0.160586202;0.168992012;0.152962481
17;ACC0017;D;0.136262223;0.111117863;0.21543648
18;ACC0017;V;0.207202485;0.186596914;0.232123399
19;ACC0019;D;0.105967817;0.101859645;0.122783148
20;ACC0019;V;0.126282883;0.113354787;0.140709343
21;ACC0024;D;0.104868357;0.099318756;0.122189814
22;ACC0024;V;0.157390868;0.143115265;0.170881215
23;ACC00267;D;0.15857097;0.154632315;0.166745616
24;ACC0026;D;0.115144497;0.120146487;0.102980257
25;ACC0026;V;0.1481659;0.165771519;0.133856847
26;ACC0035;D;0.148209979;0.132127772;0.200200171
27;ACC0035;V;0.18138303;0.157286609;0.202451443
28;ACC0038;D;0.089202779;0.07461727;0.131790049
29;ACC0038;V;0.149091489;0.139620431;0.157544768
30;ACC0048;D;0.091529026;0.071303867;0.160557863
31;ACC0048;V;0.143863723;0.102087027;0.186279896
32;ACC0050;D;0.071821813;0.057375303;0.113678328
33;ACC0050;V;0.104037457;0.077479541;0.12778969
34;ACC0060;D;0.089827627;0.082566629;0.119770254
35;ACC0060;V;0.142434451;0.127696313;0.15922042
36;ACC0062;D;0.152580173;0.149850556;0.162031803
37;ACC0062;V;0.179708369;0.193396666;0.16285293
38;ACC0063;D;0.136858832;0.129716659;0.160390014
39;ACC0063;V;0.150955492;0.122617738;0.175713573
40;ACC0066;D;0.101679977;0.106496017;0.087534217
41;ACC0066;V;0.106201581;0.125558648;0.088752005
42;ACC0071;D;0.105106979;0.084238981;0.171824298
43;ACC0071;V;0.19301887;0.190370118;0.196582617
44;ACC0074;D;0.103292616;0.092265767;0.149530288
45;ACC0074;V;0.145600303;0.164134543;0.124343101
46;ACC0077;D;0.082580804;0.068526184;0.129375281
47;ACC0077;V;0.124262289;0.099391495;0.150330502
48;ACC0079;D;0.122887279;0.114726515;0.147058471
49;ACC0079;V;0.168014813;0.189118518;0.145712845
50;ACC0087;D;0.155594938;0.14688756;0.207347534
51;ACC0087;V;0.261471667;0.295707119;0.21383212
52;ACC0088;D;0.206092254;0.216416888;0.183272815
53;ACC0088;V;0.232734597;0.293869807;0.197396317
54;ACC0091;D;0.251327071;0.256335969;0.238655633
55;ACC0091;V;0.222661769;0.267744107;0.193365558
56;ACC0092;D;0.125171931;0.112388491;0.156862006
57;ACC0092;V;0.167062374;0.174747672;0.162783342
58;ACC0095;D;0.177048631;0.164250078;0.201039872
59;ACC0095;V;0.221034916;0.248565522;0.204300786
60;ACC0096;D;0.120803115;0.098664406;0.192828616
61;ACC0096;V;0.159611116;0.172298067;0.147360952
62;ACC0098;D;0.209995781;0.217821995;0.188934647
63;ACC0098;V;0.236758377;0.270719892;0.202951037
64;ACC0100;D;0.091902579;0.086222858;0.105389655
65;ACC0100;V;0.13988742;0.14059393;0.139254399
66;ACC0103;D;0.103647668;0.088971812;0.150198376
67;ACC0103;V;0.168344376;0.171488711;0.16534665
68;ACC0112;D;0.104363723;0.104644501;0.103595815
69;ACC0112;V;0.157296299;0.16895783;0.145773078
70;ACC0115;D;0.129151952;0.115123354;0.168386377
71;ACC0115;V;0.164439604;0.151165654;0.177580755
72;ACC0117;D;0.162085961;0.151195914;0.203550809
73;ACC0117;V;0.172805732;0.185049756;0.16079519
74;ACC0118;D;0.115896155;0.113280001;0.124494111
75;ACC0118;V;0.171799844;0.162561584;0.179436208
76;ACC0119;D;0.129746991;0.124718746;0.152311108
77;ACC0119;V;0.165255993;0.160021721;0.170878533
78;ACC0128;D;0.119041474;0.085056354;0.202368067
79;ACC0128;V;0.139771984;0.159370253;0.122687019
80;ACC0129;D;0.085852806;0.076467943;0.115370067
81;ACC0129;V;0.1491103;0.17074018;0.124590973
82;ACC0130;D;0.107948404;0.103468122;0.121771119
83;ACC0130;V;0.140097255;0.137220797;0.142606939
