id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18;coord19
AC0038;D;-22.229567;16.8154745;2.524542198;-2.393240468;-1.314081796;-4.413482686;-10.30387704;-0.422985337;4.216432866;4.036268002;8.09254945;1.639265435;-0.655286334;-5.397617497;1.693210672;0.993692598;-0.271816192;-1.530279028;-2.617805677;2.848401517
AC0038;V;-4.906855914;23.95664038;-20.60444816;2.264196153;-4.549402429;-7.346573205;-14.39576106;7.871367039;-4.472953949;1.599981045;11.05402116;5.955266591;1.001017723;2.849395482;-0.452303382;-0.061899658;4.784143518;-3.104729388;-0.765200275;-1.870784987
AC0087;D;-6.413357909;22.50286249;-24.30213494;-4.709502575;-2.188931716;-1.785933384;-6.871267742;6.119584112;-2.835159977;-2.089314344;11.58049522;4.707481735;-2.463056449;-3.432489095;-1.61969027;-1.803826999;4.12520639;-2.365707932;-2.298498273;-0.854573472
AC0087;V;29.03911991;30.02424115;-23.38268371;-22.26153993;10.13803597;-7.881104815;10.46937564;-5.365315935;-5.049469925;12.24965166;-22.29432353;-11.95747167;18.40291492;10.16385949;-10.71620518;1.792397665;-5.409818762;-1.868337504;-11.8624059;0.37140906
AC0402;D;30.31931934;-27.59727239;5.654616025;-9.919796586;6.769046066;12.3485327;-12.18564224;-2.107114423;-3.288186777;6.648717427;17.79603069;5.813966066;7.031706235;1.97172421;5.422041442;-5.77581637;-6.338752276;6.325482877;-3.228364397;-1.465673405
ACC0002;D;-5.730992361;15.66207131;-22.12765791;-5.581111792;2.32206484;13.28365879;-0.530602027;-2.997095384;2.029947565;-9.42717454;-0.601814668;1.240470857;-3.728275114;-4.032156768;5.714871886;-1.850270916;-0.764232974;-2.438529826;-1.220354593;-0.34693359
ACC0002;V;16.49376117;10.12132901;-25.90594069;9.372904352;-6.271104867;3.523752802;-10.11438804;-1.846204335;-3.928371795;-6.098089951;-6.847887691;-2.188421865;9.190117764;14.57618662;9.993169321;2.83955371;-1.261808568;-8.963284075;-2.065588648;1.45632052
ACC0005;D;-11.94145547;11.41420663;-16.66839674;-2.777937226;-4.572634016;6.24428239;-6.921563989;1.324900508;-0.657726237;-3.522788052;-0.768114244;2.335324993;-7.576115063;-8.202382069;2.129549412;-1.580795165;-0.073747584;-1.665441761;-2.008775571;-1.814432807
ACC0005;V;1.909716388;19.41186444;-26.4754081;-0.295318847;-6.786715341;12.38763751;-4.041057717;-2.725374425;-1.150568424;-4.116611666;-3.400825483;-2.756840367;-2.669000144;1.542293727;11.14557448;-3.289511733;0.611729217;-1.228908488;2.591567275;-0.095756142
ACC0006;D;-12.17082367;16.72987537;-15.95062104;-2.745894558;-5.579734546;6.039054589;-8.614733818;2.367631598;-0.026010007;-0.72964869;2.611518106;2.695337505;-6.782431791;-6.878365618;3.83670986;-1.101233584;1.077956913;-1.335626976;-1.236142844;-1.007083999
ACC0006;V;0.929100923;19.43254691;-27.25159153;0.345363539;-8.591756106;10.50176929;-4.95430362;-0.858457684;-1.335296229;-3.727259958;-0.521653601;-1.478404142;-3.78388834;0.720165567;9.359459247;-2.534971687;0.902554565;-2.078265513;1.604519018;0.046041725
ACC0017;D;-8.449867151;18.9551594;-18.99023172;-4.099421362;-2.996264504;-2.521175658;-12.32574786;7.049003836;-1.516294695;-1.098863964;6.834959663;5.330901455;-1.952128299;-3.678832483;-3.168875771;0.210340393;0.992472095;-1.445803461;-2.220357809;0.462291299
ACC0017;V;13.21160172;28.57272598;-29.12383578;-6.441097078;6.845484272;-7.779157529;-3.293050157;8.59924708;-5.751042716;4.563846254;6.29115878;7.12847811;11.22403283;7.382551428;-7.215243797;3.043524949;9.769234605;2.464372023;0.013658484;-0.946251301
ACC0019;D;-12.26053514;23.07155459;-14.13117887;0.021504092;-3.86266002;-4.813395296;-9.744119654;6.549658767;-0.020664847;-0.627815847;13.47266692;7.231006102;-0.309140019;-0.36127627;-0.545032678;0.104488036;2.199100438;-0.37691444;-1.855707538;0.43740968
ACC0019;V;-7.563100605;20.32729445;-14.75640451;4.699967021;-3.896864471;-12.67310322;-5.577365438;8.535765174;0.025182125;-1.030912068;12.9889307;8.895853896;2.188172418;4.954918135;-1.984175685;-0.466034831;-0.367340377;2.281461974;0.822681702;0.242942524
ACC0024;D;-18.25764576;16.38652405;-4.058728196;-1.97941521;-1.694360792;-6.709906784;-8.42905198;4.200365655;2.46894535;1.797552136;9.726225613;4.189841798;-2.189806452;-4.071091505;-1.581799896;0.523971567;0.179961216;-0.944973101;-1.625316114;1.771224999
ACC0024;V;-0.094879998;24.03616572;-21.37427457;-4.07362651;4.145276633;-10.49840661;-0.629397522;8.030101689;-2.900482137;2.822039202;13.43608456;8.123474804;3.671120151;1.868636803;-8.379265321;2.612087325;6.273983454;1.515688316;1.088606673;-0.939062018
ACC00267;D;-2.933083615;-11.88505948;-9.392237023;3.767946168;-1.667447042;11.06209546;-6.7028077;2.253892355;-5.996297571;-6.280422429;-7.675777312;8.328904126;-0.388831372;-2.302592565;-1.940010559;2.417214417;-1.275785379;2.089376564;-0.857237683;-2.175148373
ACC0026;D;-7.30688305;25.34812152;-13.58149662;5.779927551;-6.270430527;-7.057545421;-9.899904151;7.648080943;-4.891561746;3.038793235;15.28443506;7.375252787;5.039607701;6.572239054;2.661040402;-0.924731815;3.462630492;1.007035508;2.39803377;-1.554902259
ACC0026;V;0.771285337;23.62937856;-17.52871823;10.69202543;-9.31956096;-12.92786609;-4.125057433;9.896218104;-6.913295381;2.751914479;13.2998678;7.656125313;6.621517802;11.35292885;1.947245713;-2.389544294;2.976063771;3.270256711;4.038597993;-3.427364599
ACC0035;D;-6.888836055;20.4109442;-19.96410721;-15.13610427;9.36618231;1.524015303;5.66988649;2.132286821;7.714275226;-2.671619704;6.850920252;3.300766981;-7.238473685;-9.306793722;-8.881670089;0.182164618;-0.260376057;1.642029668;-1.50866582;3.088050714
ACC0035;V;0.453441632;20.85883533;-26.10240278;-7.935554373;3.125630171;-4.795735459;0.693343633;6.409822327;-1.117695924;0.5725036;8.849806342;1.914500103;-1.204307682;-0.957774141;-7.418605998;1.002585216;3.562670705;-1.039911967;0.912664281;-1.270113663
ACC0038;D;-22.23285996;16.81675431;2.528422958;-2.401014565;-1.306443236;-4.407608429;-10.29230075;-0.427759326;4.223499784;4.041112145;8.096203173;1.635012106;-0.654121287;-5.391641256;1.687839103;1.007375597;-0.263177954;-1.527510786;-2.617287354;2.855168247
ACC0038;V;-4.940458751;23.94000868;-20.57912949;2.253153896;-4.547438974;-7.372272955;-14.38784361;7.864707858;-4.459749781;1.599674819;11.0476422;5.94946604;0.983950407;2.845782746;-0.458226921;-0.059455854;4.769620245;-3.108792783;-0.763243143;-1.874565816
ACC0048;D;-20.56042598;9.148808657;4.609140444;0.451157372;-5.007104244;-2.781641519;-10.78869936;2.317194384;-0.730748676;5.888340903;2.699115862;0.855709334;0.391971837;-5.208837716;1.541447243;-0.898177934;-0.633729211;-0.975914696;-1.147137106;0.473184656
ACC0048;V;-17.43967392;6.613927634;-0.550024408;-2.798456444;-2.473158606;-4.549237258;-12.9294156;2.378811079;-1.441524752;5.321665003;0.746657704;3.531287262;-3.265218936;-3.896115014;-1.836143131;2.20581232;-1.68777051;-3.559773446;-0.208212403;1.713269679
ACC0050;D;-23.57900561;9.407214949;10.58462896;-1.029889897;-2.55615126;-6.591544339;-6.242056509;-0.692892796;3.030573869;6.434887967;3.801228091;-1.300600127;0.956833597;-2.988372155;2.636721529;0.965282144;-1.470863665;-2.008710684;-1.334858689;1.571992025
ACC0050;V;-20.20472315;6.322321439;4.230398794;1.333012978;-5.096623534;-13.16966838;-7.560898279;1.956090275;1.82039178;4.566708724;1.717324954;1.684450521;-2.135656325;0.661889583;0.77014957;-0.034914223;-4.990207839;-8.15E-05;1.786244143;1.024283414
ACC0060;D;-24.08940555;7.962367759;11.00991385;-2.701468268;-0.567014396;-5.481451995;-3.384047369;-0.241589061;3.898465723;4.559372604;4.922623981;-1.809251723;0.812665527;-2.53942246;0.350782623;1.740552926;-0.567061059;-2.314505192;-1.388626976;2.360328485
