id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17
ACC0002;D;-13.254005;5.046538263;-17.80994424;3.733871301;5.94803016;2.457298084;-2.373465651;5.996790888;-1.53594872;-4.421451837;4.351274306;-0.276146699;1.259628891;4.084427224;-5.370277357;4.274194138;2.332519382;-1.631944941
ACC0002;V;9.883875954;21.51763646;-30.89771874;2.807248685;-4.717361845;-4.030214068;-6.549740606;8.106755962;-2.416509504;-4.026146734;3.445031217;7.652010021;7.986544169;6.544726132;2.183502707;3.285849256;1.871476039;1.671543209
ACC0005;D;-19.28378137;7.985757569;-0.119530948;-2.544750152;0.362228138;-6.182106006;-1.787203741;2.062658533;2.416242664;0.141195172;4.345280098;0.915176037;-2.14136756;1.175967973;-4.286984982;-0.394907329;0.497394515;-1.253033318
ACC0005;V;-6.767424499;16.9440469;-24.16594302;4.463072672;-1.778706537;-5.294054027;-3.776091217;9.759321854;-0.611297272;-2.451457956;8.945632117;1.264532081;3.626680594;1.004366048;-0.426481455;-0.790733445;3.29369129;-1.356947536
ACC0006;D;-19.21355744;12.77051259;0.728751883;-0.017390378;-0.891156896;-12.14387939;-3.007548714;0.527539974;3.557206226;1.921668048;4.096738437;1.651320576;-0.050178799;0.196473003;-4.353909757;0.054472278;-1.268711043;-0.976815278
ACC0006;V;-10.13896215;16.12053142;-21.19592365;0.508541914;-0.752671627;-4.970568828;-1.085840066;7.50211507;-2.298729517;-1.555359897;8.519856684;1.200182749;1.765206581;2.005128625;-5.020733882;-0.860206032;1.885861966;-0.803331346
ACC0017;D;-21.87211584;17.56201818;-1.917383098;-3.140412142;1.515649682;-9.279252943;-1.570148446;-5.926661119;3.706200638;1.588738323;6.046631585;-2.654223433;-5.069797201;-2.215260752;-7.249505733;1.475471176;-2.140795481;3.303427892
ACC0017;V;-2.279832212;42.36481861;-32.27844632;2.701052133;-2.327502267;-10.3021682;-1.392790758;-7.722376918;-3.496052055;7.454746912;1.419734131;-5.952358986;-7.749120914;0.463332947;4.03066294;1.579616035;-5.379933392;-0.115700657
ACC0019;D;-24.72418421;15.34018892;4.054272581;-3.718511418;1.346047808;-5.891920474;3.173385122;-9.37908892;-1.855665225;0.517858046;2.530600373;1.592714737;-4.362800456;-3.16362909;-4.340978962;1.240131195;-1.469823894;0.65179087
ACC0019;V;-18.39420676;29.11596775;-6.614742798;-1.358923192;-5.918999652;-9.199225778;1.457573817;-13.43416833;-7.167606507;5.815426735;1.850800586;1.455697445;-8.486351391;-1.218347361;-4.254164285;4.660976942;-4.577274665;-0.040538646
ACC0025;D;-24.94798397;17.82342119;0.085123182;-2.719516492;3.61249497;-6.936295398;1.860845434;-9.988216075;1.105235184;0.871915566;4.02417891;-1.553491956;-5.549273657;-3.756649308;-6.893818553;1.778772129;-2.414758935;2.01705659
ACC0025;V;-10.32937089;37.86028135;-18.01117383;2.583515717;-4.058954871;-11.87021223;2.024442046;-14.45437795;-4.055705804;12.83698524;-2.94467656;-1.965730579;-11.26495386;-1.225104281;0.024346982;6.504200394;-6.711253379;-1.204888426
ACC0027;D;-23.6591801;22.10612473;-2.714833176;-2.808175418;-0.303959227;-4.764469683;6.484266514;-12.79224864;-6.626815698;1.780241387;2.996911056;0.852217822;-7.010984799;-3.318506992;-4.737097419;2.555788383;-2.147434786;0.016921926
ACC0027;V;-12.80635865;35.29964629;-4.771086892;3.0413911;-11.59069853;-6.891093804;5.895101464;-17.67710625;-12.8144104;12.23937685;-5.476814345;4.38476422;-9.518582531;-1.4930782;3.739621875;7.92421033;-4.941353974;-2.616528175
ACC0028;D;-23.39067554;5.196358594;8.983766778;0.967946427;4.425002792;-5.464678646;-0.2092322;-4.796051418;2.516436667;-0.661997194;-0.982370765;-0.929691764;-0.246532702;0.617251935;-0.640335356;-1.080690182;-1.992205432;0.944967294
ACC0028;V;-5.982129134;34.9772681;-16.54882672;11.69396962;-6.811243831;-15.69283374;-5.302267937;-7.988741362;-6.484019053;9.794490857;-2.50585089;0.264201856;-7.529591825;2.683784581;4.213121617;6.964151602;-4.926140833;-2.857784591
ACC0031;D;-23.82855953;18.51121275;-1.11420783;-2.991255243;1.52266689;-10.31456766;2.450530377;-7.627550008;-0.214680648;1.677939273;3.787523482;-0.684463562;-5.219425841;-1.62710741;-7.539244424;1.131951237;-2.142876323;1.551978719
