id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18;coord19;coord20;coord21;coord22;coord23
ACC0001;D;-6.485281917;3.89180866;-1.362744852;22.19336503;2.474158221;20.07240651;3.584634315;3.526957889;10.1854294;-0.618035143;3.584994553;3.799479305;-5.039079131;4.677431729;4.66269428;-6.393000176;-12.86864089;1.760836753;-1.71625343;2.80313148;-9.969107121;-4.107198347;-4.451212412;6.772383951
ACC0001;V;-0.859076942;9.322014491;-0.320425775;21.50470285;3.383270931;16.17353618;-1.280999846;0.80251894;8.907410986;-0.530829561;11.00130487;5.484247695;-4.407647285;-0.210553866;2.571450971;-5.788987931;-14.62092327;2.830660706;1.234062296;3.041593365;-3.12364262;-4.017280233;-1.9082677;5.615809085
ACC0002;D;-7.964029334;5.946925248;-0.562228227;19.52425089;3.388745501;20.09314253;0.187131739;4.651889685;7.18023446;-0.813810482;5.244835198;4.669330479;-5.321293079;1.868458383;2.69573125;-3.07064389;-13.33523506;-1.103562745;1.600430911;2.248202353;-9.132970491;-3.929747596;-3.707127253;4.607649789
ACC0002;V;-2.396987548;12.64014309;0.580413995;17.30744544;2.845947775;15.99489553;-2.883844825;1.611811667;7.935567448;-2.022937937;12.5647565;7.404111001;-4.976375567;-0.474894064;0.970843477;-2.899888991;-14.66167079;1.508450024;4.799688322;2.395691426;-2.407417458;-3.201962536;-2.305023458;4.403061843
ACC0003;D;-7.216846851;2.932835945;-2.63230033;23.69123198;4.282239062;20.52532387;3.371893545;3.67377633;5.802978534;-0.384126589;5.314880932;2.972552654;-5.867262701;3.553922723;2.149816114;-5.425082875;-11.62681253;-0.079476086;1.243884671;4.788643192;-11.32665068;-3.321696801;-3.55161383;6.043663564
ACC0003;V;-1.63569072;8.409922913;1.532162747;22.07863381;2.8408648;14.92365301;-0.16184169;1.27377509;6.263655179;-3.032425478;11.43134474;6.973882856;-5.461951765;0.731594609;0.741733248;-3.618875063;-15.39150922;2.042750261;1.200179581;3.854126046;-3.117441141;-4.869036333;-1.650295023;5.958891634
ACC0004;D;-18.22641166;3.17597394;12.85221733;3.726100837;-19.37313473;6.543409895;1.320452586;5.026557656;13.87450946;3.195994218;-6.897034247;2.44006038;-7.296149141;-2.051473642;-2.209700651;3.604845472;0.618246825;-4.850396117;4.770399858;-2.937773335;2.37685281;-0.163998343;-3.190727735;1.181400996
ACC0004;V;-11.64573672;10.31686986;2.244212405;15.06244429;-14.84705635;9.265603932;9.342776874;-1.112454482;19.58341813;0.873990572;-0.795619391;0.919566617;-7.563390841;3.031375649;1.892503482;-1.949231708;-7.349337049;-0.915545484;0.126020315;-3.738066565;-2.109033857;-3.046780893;-5.027528605;7.213066831
ACC0005;D;-17.51766698;6.79918474;4.862928809;6.632011131;-17.39598564;5.923939249;7.460292364;0.896185805;17.03579132;1.804042823;-5.124373467;1.232921052;-8.635803691;-2.371247905;-1.241998921;1.379815205;0.254083321;-6.149438822;4.484095064;-3.913234113;1.849185114;-1.696828589;-4.067570898;3.561530305
ACC0005;V;-11.24573328;11.54322469;0.62518454;14.53865969;-15.40176482;8.552519468;9.46698357;-3.073777646;19.29574481;0.543023068;-1.143883503;0.939686442;-8.307621623;1.46548513;1.785599134;-3.336121654;-6.906765116;-1.989075677;-0.339023046;-3.927685736;-2.960795702;-3.003486641;-5.109518981;7.577031057
ACC0006;D;-15.87881434;5.23559403;6.679627231;12.83184098;-18.51275846;5.676874491;4.58898884;2.856743344;14.53553616;-2.701342045;-4.005115358;2.631402207;-7.872167141;0.964519078;-0.609610367;0.476228212;-0.416427957;-7.623935415;4.941651821;-6.759482831;-1.346664842;-1.448054269;-3.942032373;3.331955585
ACC0006;V;-11.23742711;10.05699454;1.169685133;17.45625387;-15.86284155;8.892797743;6.513780996;-1.734437845;17.71007342;-2.689120465;-1.804985175;1.573802504;-7.230710154;2.514503549;1.626721311;-4.350908702;-6.042682775;-4.659520063;2.67148919;-4.655378048;-3.808636203;-1.721322524;-5.570991971;7.102300622
ACC0007;D;-18.6479481;4.09848875;2.079360243;12.90586475;-16.35680946;5.184469434;8.426339871;3.805882126;12.07407286;-2.518596054;-2.791407048;2.271277493;-7.201187541;-2.781407718;-0.863191793;-1.096828129;2.712469987;-8.55202087;5.915260026;-4.888112298;-1.812647368;-2.006624597;-3.042847234;2.779764577
ACC0007;V;-12.62128806;10.50869067;-0.334309195;16.66500856;-16.05897437;7.027404042;6.523869466;-2.645566089;16.2902591;-4.13338776;-1.982053778;1.092162709;-7.300269496;0.455534056;0.522349656;-3.498688611;-3.914615957;-5.774614553;2.875074598;-4.760667635;-3.605943458;-2.077004188;-5.221692431;6.301613554
