id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17
ACC0002;D;-10.99840547;10.95922876;-18.4490989;2.966047563;3.746963638;0.020474937;3.532605007;8.17837163;-2.135763521;4.134311062;-0.860362724;-3.047340681;5.07136834;-4.524375177;-5.517003553;1.853390849;-0.181835256;1.585670404
ACC0002;V;12.56418261;27.84341441;-25.49267583;2.364964828;-6.741421694;-4.225494507;6.991982025;7.31195537;-0.831398137;2.46303362;-7.348176739;8.839730342;10.39106897;-2.070117583;3.639393044;1.532932393;-4.607846772;-5.683622787
ACC0005;D;-18.48290739;7.737154797;1.39995975;-4.074119762;0.885064665;-6.183958521;3.352919168;3.17579639;-2.175027029;3.199264997;3.726743304;-1.415468281;-1.000400769;-2.603216686;-4.87924284;2.373450129;1.028248165;-0.36668641
ACC0005;V;-5.275957409;23.31251077;-20.7827196;2.234058858;-3.562817261;-5.984581576;5.782275204;8.035981229;-1.744735109;8.306237096;-1.310895688;-1.449677162;5.646718998;-0.616251013;-1.035304608;4.247259832;1.338205946;0.320406271
ACC0006;D;-18.0672579;11.79515546;2.598071;-3.565704189;-0.505685081;-10.707476;4.186342219;1.396853989;-1.570786192;3.259080177;5.43775139;-0.274570569;-0.61332385;-1.419888383;-5.931560179;2.540663691;1.463993916;-0.544277263
ACC0006;V;-7.157793858;22.78692741;-18.13939789;-2.340377624;-3.414086457;-6.174999221;2.469507638;7.525727391;-1.01055387;8.748917796;-0.857286916;1.082150775;4.886488395;-2.368396818;-4.725656766;2.577253771;1.496681523;1.720620559
ACC0017;D;-19.63873004;19.16087426;-1.267287117;-4.541915372;0.141451716;-8.595178133;1.600808418;-2.702420158;-5.278419313;5.89865009;6.126157766;-1.055502952;-2.871418629;-1.114393054;-8.109412597;-0.262213351;2.188850435;0.56068243
ACC0017;V;0.577360283;48.55244862;-27.00683779;3.544559579;-2.48160018;-5.428123102;-1.123872727;-11.57303832;4.224509172;4.831300193;4.068090757;-9.004135527;-5.103432446;-2.160117213;10.0746452;-4.672372787;-1.922187684;-1.562103895
ACC0019;D;-22.92099805;15.7778204;2.915012129;-2.677438723;2.84305812;-6.342597466;-3.370649635;-6.394928914;-5.067390102;4.287374095;2.699092155;0.706211451;-3.971055067;0.047671969;-4.619334531;-2.634300944;0.724439504;-0.966315847
ACC0019;V;-15.40542006;32.54359289;-3.905765557;-2.57275488;-4.298112279;-7.373894176;-4.630234755;-13.67734845;-0.192821899;7.883105887;2.435905085;0.88419421;-6.451984352;-2.406155585;-3.323168748;-4.824310272;2.043573885;-2.6708561
ACC0025;D;-23.19147513;19.76814775;-0.034265222;-2.068207775;4.07184484;-6.473984163;-1.712167435;-7.390212787;-5.868233784;5.186310104;4.921107614;-1.408453729;-6.171179383;-0.229911502;-6.927559518;-4.022542118;1.21547365;-0.633902083
ACC0025;V;-8.638855876;41.68842578;-11.40433661;2.99888858;-4.442598104;-8.429785918;-2.328820318;-17.79043835;5.834989361;4.869568443;4.540845787;-1.393299587;-9.087320343;-2.270183052;4.790135414;-7.553913436;-2.932158225;-5.282516481
ACC0027;D;-20.62805619;26.65163012;-2.309399767;-0.444213738;0.789542505;-4.989547801;-7.883072822;-12.41262274;-2.241825082;7.38531758;1.043010083;-0.042294842;-6.731158176;-0.49908808;-2.256043316;-5.250271835;1.635515033;-3.470585372
ACC0027;V;-8.744215584;39.4134227;0.021385346;2.084816942;-9.14853622;-3.978528269;-8.990909181;-22.48088644;8.957753582;4.527737425;0.163761982;3.783294242;-9.511435881;-1.058969746;7.234511129;-5.776694187;-1.123447621;-8.103032851
ACC0028;D;-21.79411396;3.718600794;8.492760467;-0.062573831;2.891081479;-7.604386947;2.221681821;-1.832216492;-2.288501947;-2.095026785;3.902336213;-0.73746716;1.61019299;-0.237666635;-1.291997192;0.775458661;1.025856337;-0.290127667
ACC0028;V;-1.970372513;36.61504205;-10.37281911;5.114524114;-10.49922278;-13.66406518;5.362652192;-11.44948952;7.57407697;3.939422606;1.005705545;-0.040010816;-2.441692819;-2.153673513;6.207231965;-2.965035869;-2.228840651;-8.272457666
ACC0031;D;-21.13938885;19.35400248;0.19776263;-4.700642308;1.878176271;-8.891361805;-2.740110996;-4.643825703;-2.689489495;5.031996902;4.700741419;-1.217404009;-4.978539539;-2.246361766;-6.898027345;-2.297451668;1.625530211;-0.774462714
ACC0031;V;-6.155970126;43.20836623;-14.8661376;2.074622411;-5.973198085;-10.94525975;-3.544406468;-13.18484185;6.25408863;5.66974287;2.75902833;-3.316923558;-5.606362836;-2.351636171;5.272140984;-4.457007662;-0.36864081;-6.063597451
ACC0036;D;-23.17345648;8.634896061;4.895899582;-2.857103734;6.855918819;-2.629983567;-4.065427902;-2.74695854;-5.203822192;1.069769427;2.893745371;-0.79596394;-4.167473257;-1.041116451;-4.283639191;-1.904590477;-0.745388727;2.268300897
ACC0036;V;-20.45851326;18.7311253;-1.153677652;-4.936117243;4.395395967;-0.455897239;-6.171069001;-5.447363289;-3.833040384;5.899766669;2.572529921;-1.604830049;-9.403593295;-2.464003912;-6.159848315;-3.51198168;1.188367751;1.373574548
ACC0037;D;-23.57604413;12.87644887;3.839993767;4.208460133;8.295259842;-0.058045566;-3.662848361;-8.296484782;-8.381413091;0.824005757;2.150478915;-0.935997986;-7.32549361;3.058360465;-4.502580207;-3.914320519;-0.980353334;-1.016148054
ACC0037;V;-19.80230603;23.72795697;-2.687767237;-0.077277972;3.016236073;-5.289406541;-5.034558953;-9.222168937;-3.598958232;6.239327379;2.102594956;-1.294208347;-6.779775186;-0.37158627;-2.516347492;-4.536945678;0.816349407;-1.157002549
ACC0048;D;-21.98436728;7.884817317;7.14939655;-0.973785363;2.439474206;-8.533407499;3.318011871;-2.930690145;-5.036179556;-0.629905315;4.308240246;0.741317944;1.93814268;-0.197233085;-1.404436007;-0.600977816;0.888391314;0.461870718
ACC0048;V;-20.06182667;9.026026626;3.267120571;-4.02298278;1.656456027;-6.55000589;3.744551025;-1.062361305;-3.824432642;0.997067176;6.172674849;0.919419313;-1.587162646;-1.119505865;-4.11107652;0.151434661;-0.098165491;0.651065818
ACC0049;D;-26.25193064;3.347009191;13.19495917;3.454371516;7.915124887;-8.939692131;-1.741877845;-6.312794006;-7.654412473;-5.594787725;4.465746368;1.267702873;4.019442391;3.191517239;1.289843855;-2.405667357;-0.507731305;1.455563373
ACC0049;V;-24.5055295;8.596936315;9.441992088;-3.107733295;5.3007763;-7.4888666;-3.754113121;-4.615919848;-5.980678208;0.430346433;5.388516546;1.386870914;-2.666763506;0.752550328;-3.740989617;-1.625038816;-0.011835928;1.029026015
ACC0050;D;-26.76132819;2.806236934;11.8842359;1.557150135;8.27681411;-6.024646708;-2.440162846;-5.838119057;-7.801587811;-4.435765386;2.699264045;1.844310132;2.236611113;2.368230412;1.106375391;-3.301656594;-1.192809853;0.780342335
ACC0050;V;-23.98293878;4.974342997;11.4478608;-4.390914512;4.841701826;-3.634886189;-3.287319987;-5.008827482;-5.42319312;-0.73882299;3.112306719;2.658435571;-3.173384959;0.955435674;-0.621320703;-2.41674849;-0.977069627;0.393520959
ACC0060;D;-24.5208515;3.633931095;11.70657002;2.271286365;5.991890096;-8.838147267;0.833715943;-4.870728728;-6.731359496;-4.362217456;5.149356216;0.454388216;3.442217233;2.879640051;0.996782383;-0.777340868;-0.166834467;1.05891824
ACC0060;V;-15.7559444;28.90588819;-6.150558093;-2.926452074;-2.052262242;-8.499091319;-1.975231413;-10.63614349;0.405561351;7.445012262;4.82357471;-1.801218659;-6.853760947;-4.160691904;-5.325120989;-4.381951081;2.471663232;-1.780828571
ACC0062;D;-22.65056494;11.64947562;4.236959604;-5.136869808;5.404538044;-4.045448303;-6.046197585;-2.440111483;-3.4685185;3.419958306;4.942145913;-1.455888706;-5.987707079;-2.040170596;-6.901878987;-1.195856478;0.598962706;3.39377617
ACC0062;V;-12.06836807;32.50112101;-12.46106447;-1.583957504;-1.070394247;-3.959744509;-4.875494669;-8.994269845;0.803757738;7.650704632;2.424881383;-5.005412329;-5.042871089;-5.456362355;-3.420068864;-3.506707625;3.143280597;1.610955408
ACC0063;D;-22.78918137;16.34584674;0.933661212;-4.513601838;4.848041888;-6.017375067;-3.313158364;-3.396676001;-6.533110244;4.705083163;6.900557405;-1.542303654;-5.479561985;0.48458618;-8.336363756;-1.04501531;0.380833544;1.684631129
ACC0063;V;-22.26655924;19.39266216;-0.056262129;-4.189872158;4.933551846;-5.277306838;-4.184274799;-5.17291057;-5.312056575;6.12051517;5.957569488;-1.969097569;-8.012866473;-0.476299519;-8.285862801;-2.153598496;0.874292547;0.247850377
