id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16
ACC0002;D;-11.78175284;-3.062671335;14.82913184;-11.76224048;7.008694491;1.533482203;3.504416646;-2.654176949;4.286970589;-5.680741287;-4.018790496;7.973452711;-0.694821816;-3.006804525;2.083683608;-0.155387912;-1.304518285
ACC0002;V;12.23358437;-19.51419233;22.40708365;-4.907032334;9.84570893;-2.528941801;-7.821715724;0.784447387;0.143969825;0.643445723;-0.854527296;-4.385604526;1.619599244;-4.161413218;-0.392272229;2.504705047;4.173770447
ACC0005;D;-17.57423752;-1.142177683;8.41884037;1.806280458;-5.51708827;-4.211730461;-6.140898405;-1.028093539;1.574957989;-1.063817993;-5.794121555;6.005627998;-0.418874921;-0.202707055;0.586267683;-0.089921287;0.068266666
ACC0005;V;3.468778883;-14.33361309;25.90862973;-5.866028701;13.94012811;-3.913202405;-1.810977395;-1.110125347;5.903619293;-0.961876576;-5.48283623;2.480532577;4.496839694;-3.301870069;1.361474124;-0.166188038;0.143585429
ACC0006;D;-15.74173043;-1.494115401;13.62291394;1.368402267;-2.11779637;-6.199729035;-10.47352713;-2.704576797;2.218080637;1.899803139;-4.104569707;7.328209548;1.816903119;0.37197017;-0.737985918;-0.716440456;-0.060534537
ACC0006;V;1.956030089;-14.99284511;27.62815648;-5.36168781;10.53412232;-6.671262652;-2.967112574;0.044454001;6.28594392;-0.444907342;-5.206739895;3.774928099;3.466942694;-2.033228981;-0.635360441;0.179163757;0.714131653
ACC0017;D;-12.2807859;-4.199967354;22.66930267;-1.706331665;-7.433112657;-3.184119648;-9.126857867;-0.602376064;2.365804886;-2.938313958;0.7798992;6.770797984;-5.325680583;3.97594627;-0.303302625;-1.718154796;-1.776934099
ACC0017;V;15.95092016;-9.366791866;44.08806422;-9.333933091;-2.057048053;-1.211598058;-0.502768819;3.268328563;-2.75659974;1.805431181;14.71640297;-9.557423766;-5.564030242;9.92485304;3.223753486;-1.610822885;0.001105531
ACC0019;D;-14.8681736;0.732819811;20.70468972;3.263960903;-7.92126257;-1.522625809;-4.157599172;-1.192394954;2.143888974;-2.500497054;3.641806469;0.991272483;-4.92683044;3.138043343;-4.841987781;0.088973186;-0.930039238
ACC0019;V;2.630588955;-7.285522502;36.08025676;4.264607528;-7.238842056;-1.724826371;-1.48148341;6.182204307;0.609783128;-2.584044061;12.58806615;-3.83629019;-6.930537096;5.791970723;-4.978722469;2.472149354;0.207222132
ACC0025;D;-14.32041112;-0.164819654;25.35848809;-2.060594621;-5.544264071;-1.736266545;-6.953383481;-2.763262928;2.959244628;-3.284148115;4.105387586;5.547790904;-5.715340504;4.972942553;-3.19896705;-1.783886501;-2.600355037
ACC0025;V;6.168342891;-8.196635471;37.97569228;-9.122437404;-4.313246887;-2.867798538;-1.272385572;3.149662213;-0.75265403;2.453014571;10.12043168;-3.951550146;-7.290655554;10.11391865;-0.133139452;-1.635179676;-0.523958809
ACC0027;D;-3.738338412;-3.35403625;32.22610313;5.882606528;-4.87059634;-1.105054645;-1.21371931;4.252509418;1.87589564;-1.006687831;10.09512741;-5.583302978;-5.407503836;5.542043783;-6.715764066;1.112847049;-1.612185471
ACC0027;V;11.00200917;-7.32266086;35.0453468;14.35468215;-4.055221701;-3.384518343;0.043311646;10.64841776;-3.237983277;5.528577549;13.4010356;-12.69902181;-2.86685238;4.280267627;-7.405038582;3.157954331;0.519997389
ACC0028;D;-22.27963148;9.551323755;3.548316606;3.019492982;-6.892645452;-1.061302076;-4.443955781;-5.586998706;-0.197039344;-0.037872098;1.275687757;2.111909011;-1.459538397;1.509333461;-0.966569227;-0.416751454;0.660663557
ACC0028;V;2.196850197;-9.651670898;29.43691471;0.606602274;3.003754111;-6.590935962;-9.310466269;4.511671261;-1.382437898;1.925668448;5.601087552;-4.252880124;-0.931511195;3.66165793;-1.190829486;1.284324824;-0.88534132
ACC0031;D;-9.676202808;-3.245472121;28.56429496;-0.335164721;-4.933535202;-4.207147975;-5.974518862;-0.265824766;2.950033653;-2.804710645;4.498572672;1.247451004;-4.50618718;5.94286557;-4.048280698;-0.116887904;-1.875978901
ACC0031;V;8.749513134;-9.166812403;39.31838032;2.056231971;-2.969317724;-6.567442665;-3.086426049;5.658898121;-3.082603603;2.298809254;10.12817179;-10.82054951;-2.714583025;8.825665886;-1.905220842;1.942603123;-0.033962283
ACC0036;D;-16.85825385;2.56328652;17.603209;-1.818837374;-7.560672486;-1.12562881;-4.356646671;-4.620077613;2.389511478;-2.906396501;1.110469423;4.449991555;-4.637332369;3.443594162;-1.365363681;-1.321052088;-0.483903054
ACC0036;V;-9.601107402;-4.547730015;27.18016311;-1.998837434;-6.491883812;-2.941262675;-4.07259748;-0.134782546;3.423926288;-4.972406839;1.072243677;2.70232028;-5.851042699;3.922129794;-2.973901163;-0.124870439;-0.927265311
ACC0037;D;-17.56972031;3.493161199;18.92618094;1.929574718;-7.001033726;-1.401057755;-5.035039822;-3.982870079;2.449218487;-1.718320533;2.986281041;2.565171875;-3.988554238;2.870276795;-5.069206442;-0.857752835;-0.946493376
ACC0037;V;-7.898956777;-3.390339105;29.15374009;1.352246102;-6.385639143;-2.761225681;-4.063283278;0.474704136;2.344433912;-1.806217019;4.71591514;-1.647140969;-5.266239274;4.72006605;-4.098426197;-0.625915276;-1.347318908
ACC0048;D;-20.38808381;5.213077362;9.433102932;1.363637807;-6.326921544;-2.505568981;-10.44498039;-5.491037219;0.349224477;1.765241954;0.758315176;6.234226372;-1.164718283;1.591360408;-0.355355499;-1.31628308;-0.05332101
ACC0048;V;-17.16912006;-1.548275623;9.402632597;-0.440825843;-6.631317143;-3.367658342;-13.74617535;-1.877856942;-0.477978902;2.751833245;-2.000214938;7.953596387;-2.375535223;0.579393159;0.77260849;-2.022080226;-0.144013744
ACC0049;D;-23.81862195;11.97210955;3.123570922;4.584186734;-6.085092293;-0.925509172;-6.935930212;-7.320210478;-0.022583591;3.626628597;2.465284447;2.136012609;0.363746992;1.896098078;-2.90649104;-0.097231307;0.786229682
