id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17
ACC0002;D;-0.237766515;10.55840854;2.524224462;-11.35853769;6.317871326;11.88051997;0.576261161;-9.75573213;-3.438001044;-1.286016411;5.705672132;-3.866028517;4.209556019;-2.490248221;-3.394305427;2.566825865;5.027030035;-1.820738243
ACC0002;V;-0.827737354;10.72190658;25.6274521;-9.13867912;16.59303438;5.571480018;5.641373979;-13.86993945;0.486748853;-1.20840195;0.695755051;-4.493971229;6.670804891;-5.192152058;-7.048721074;2.237537094;-0.332703929;1.633971069
ACC0005;D;-13.71640537;-4.65867312;-2.148049805;-2.656417501;6.009873097;5.515874787;-1.901287085;-3.779073599;1.004417629;2.906445863;2.805581348;0.751748143;-0.810208548;-3.51826206;-0.550127116;4.208041044;0.95575506;-1.148822005
ACC0005;V;-6.439464653;4.549099496;10.78858432;-9.256859498;5.55446352;8.135195522;5.837800215;-10.75692868;-3.136264663;5.240866143;5.495246193;-3.800910375;4.019210772;-1.382189395;-1.792118501;2.633668048;2.370270809;-2.565615795
ACC0006;D;-16.32703204;-13.8424502;1.382758788;-9.176712859;4.44100858;3.094821542;5.288174431;3.568937541;-0.686859106;1.94735282;-0.038898554;-4.544550335;0.39558066;-2.503212153;0.426068491;4.256310521;1.144844631;0.10643118
ACC0006;V;-13.56091135;-11.34327137;12.41856966;-15.34446734;7.558962757;3.846490376;2.421494797;-0.650877366;2.874990041;4.033838977;1.638790799;-0.902543297;5.998736547;-3.133389563;-0.204767807;1.820781279;-0.920023543;-0.524518313
ACC0017;D;-19.56195445;0.971499991;0.604244665;-5.394840413;-8.033876893;12.63169489;-6.664693934;-5.27902233;0.67949778;6.231803446;-1.372275272;2.324278494;-4.187449038;-0.789041748;3.917823966;0.668615783;-1.810528721;0.175288186
ACC0017;V;-17.16182207;1.917908693;21.14172526;-22.87197087;-1.790271346;12.43177381;3.155106259;-10.86429418;-3.518439318;4.499541536;-1.555651949;4.308690376;9.620819281;1.977475964;2.984443412;-1.142530504;-0.982736312;3.272433373
ACC0019;D;-41.05815095;-5.680347098;2.826450555;11.64141594;-10.1254206;-2.212185525;-0.3479081;1.462600932;-0.301531156;-9.404913876;-3.25676922;0.475403446;2.059763933;-0.208646978;-0.433662768;-1.765343302;1.092488768;-1.888420507
ACC0019;V;-41.79604007;-12.41061428;14.54256146;1.372959485;-4.928433235;-0.875175906;3.06107259;-2.003259684;1.379019535;-10.77129072;-4.707924233;4.205412627;4.281660728;-2.165040168;2.306269604;-1.356869222;-1.611698808;2.063414306
ACC0025;D;-32.34411888;-6.976899426;11.97363208;-5.925116657;-6.186303787;3.367929014;0.218916169;-2.593701038;4.520904928;-7.447279581;1.474460949;0.917765188;3.382484798;3.92477601;2.230285383;-6.383649246;-0.507982646;-0.030888605
ACC0025;V;-35.39122976;-10.51964229;26.63399712;-3.848112293;-4.232693634;2.86685708;11.5146339;-11.28721408;5.806793417;-6.971947604;3.496504226;8.83818494;5.394950433;-0.446045167;1.41087171;-2.800095416;-2.599843068;1.436251268
ACC0027;D;-52.20718091;-10.45941336;15.8043838;11.08760881;-16.94893254;-8.882859805;12.7640195;0.587939853;1.898973656;-11.72978914;-0.586022499;7.25168636;4.438804235;0.064447131;-0.909625173;-2.422555729;4.153929412;-5.199753741
