"";"V1";"V2"
"Parnassius_actius-Parnassius_jacquemontii";"Parnassius_actius";"Parnassius_jacquemontii"
"Parnassius_nomion-Parnassius_epaphus";"Parnassius_nomion";"Parnassius_epaphus"
"Protesilaus_molops-Protesilaus_protesilaus";"Protesilaus_molops";"Protesilaus_protesilaus"
"Graphium_angolanus-Graphium_ridleyanus";"Graphium_angolanus";"Graphium_ridleyanus"
"Graphium_latreillianus-Graphium_leonidas";"Graphium_latreillianus";"Graphium_leonidas"
"Graphium_antiphates-Graphium_agetes";"Graphium_antiphates";"Graphium_agetes"
"Graphium_milon-Graphium_sarpedon";"Graphium_milon";"Graphium_sarpedon"
"Battus_belus-Battus_crassus";"Battus_belus";"Battus_crassus"
"Euryades_corethrus-Euryades_duponchelii";"Euryades_corethrus";"Euryades_duponchelii"
"Parides_ascanius-Parides_bunichus";"Parides_ascanius";"Parides_bunichus"
"Parides_aeneas-Parides_tros";"Parides_aeneas";"Parides_tros"
"Parides_eurimedes-Parides_zacynthus";"Parides_eurimedes";"Parides_zacynthus"
"Parides_erithalion-Parides_vertumnus";"Parides_erithalion";"Parides_vertumnus"
"Trogonoptera_brookiana-Trogonoptera_trojana";"Trogonoptera_brookiana";"Trogonoptera_trojana"
"Ornithoptera_aesacus-Ornithoptera_euphorion";"Ornithoptera_aesacus";"Ornithoptera_euphorion"
"Troides_amphrysus-Troides_miranda";"Troides_amphrysus";"Troides_miranda"
"Troides_prattorum-Troides_vandepolli";"Troides_prattorum";"Troides_vandepolli"
"Troides_aeacus-Troides_minos";"Troides_aeacus";"Troides_minos"
"Troides_criton-Troides_rhadamantus";"Troides_criton";"Troides_rhadamantus"
"Papilio_eurymedon-Papilio_rutulus";"Papilio_eurymedon";"Papilio_rutulus"
"Papilio_homothoas-Papilio_cresphontes";"Papilio_homothoas";"Papilio_cresphontes"
"Papilio_montrouzieri-Papilio_ulysses";"Papilio_montrouzieri";"Papilio_ulysses"
"Papilio_buddha-Papilio_neumoegeni";"Papilio_buddha";"Papilio_neumoegeni"
"Papilio_demetrius-Papilio_protenor";"Papilio_demetrius";"Papilio_protenor"
