"";"name";"context";"done"
"1";"Protesilaus_molops";"Symp";TRUE
"2";"Parnassius_actius";"Symp";TRUE
"3";"Battus_belus";"Symp";TRUE
"4";"Euryades_corethrus";"Symp";TRUE
"5";"Graphium_antiphates";"Symp";TRUE
"6";"Troides_amphrysus";"Symp";TRUE
"7";"Papilio_eurymedon";"Symp";TRUE
"8";"Parides_erithalion";"Symp";TRUE
"9";"Graphium_latreillianus";"Symp";TRUE
"10";"Graphium_angolanus";"Symp";TRUE
"11";"Protesilaus_protesilaus";"Symp";TRUE
"12";"Parnassius_jacquemontii";"Symp";TRUE
"13";"Battus_crassus";"Symp";TRUE
"14";"Euryades_duponchelii";"Symp";TRUE
"15";"Graphium_agetes";"Symp";TRUE
"16";"Troides_miranda";"Symp";TRUE
"17";"Papilio_rutulus";"Symp";TRUE
"18";"Parides_vertumnus";"Symp";TRUE
"19";"Graphium_leonidas";"Symp";TRUE
"20";"Graphium_ridleyanus";"Symp";TRUE
"21";"Troides_aeacus";"Allo";TRUE
"22";"Parnassius_nomion";"Allo";TRUE
"23";"Papilio_homothoas";"Allo";TRUE
"24";"Luehdorfia_puziloi";"Allo";FALSE
"25";"Parides_eurimedes";"Allo";TRUE
"26";"Papilio_demetrius";"Allo";TRUE
"27";"Papilio_lorquinianus";"Allo";FALSE
"28";"Parnassius_phoebus";"Allo";TRUE
"29";"Trogonoptera_brookiana";"Allo";TRUE
"30";"Ornithoptera_aesacus";"Allo";TRUE
"31";"Parides_aeneas";"Allo";TRUE
"32";"Papilio_buddha";"Allo";TRUE
"33";"Papilio_montrouzieri";"Allo";TRUE
"34";"Troides_criton";"Allo";TRUE
"35";"Parides_ascanius";"Allo";TRUE
"36";"Papilio_epiphorbas";"Allo";FALSE
"37";"Troides_prattorum";"Allo";TRUE
"38";"Papilio_aristodemus";"Allo";TRUE
"39";"Troides_minos";"Allo";TRUE
"40";"Parnassius_epaphus";"Allo";TRUE
"41";"Papilio_cresphontes";"Allo";TRUE
"42";"Luehdorfia_chinensis";"Allo";FALSE
"43";"Parides_zacynthus";"Allo";TRUE
"44";"Papilio_protenor";"Allo";TRUE
"45";"Papilio_peranthus";"Allo";TRUE
"46";"Parnassius_smintheus";"Allo";TRUE
"47";"Trogonoptera_trojana";"Allo";TRUE
"48";"Ornithoptera_euphorion";"Allo";TRUE
"49";"Parides_tros";"Allo";TRUE
"50";"Papilio_palinurus";"Allo";TRUE
"51";"Papilio_ulysses";"Allo";TRUE
"52";"Troides_rhadamantus";"Allo";TRUE
"53";"Parides_bunichus";"Allo";TRUE
"54";"Papilio_nireus";"Allo";TRUE
"55";"Troides_vandepolli";"Allo";TRUE
"56";"Papilio_astyalus";"Allo";FALSE
